label,min_fair,multiplier,min_prob,n_bets,wins,winrate_pct,final_capital,roi_pct,total_staked,total_profit,avg_profit_per_bet,ev_per_bet
combined,1.5,1.05,0.45,258,139,53.875968992248055,46.63999999999998,18.077519379844954,258.0,46.63999999999998,0.1807751937984496,0.1807751937984496
combined,1.5,1.05,0.5,197,112,56.852791878172596,40.46999999999998,20.543147208121816,197.0,40.46999999999998,0.20543147208121826,0.20543147208121826
combined,1.5,1.05,0.55,135,82,60.74074074074074,32.38,23.985185185185188,135.0,32.38,0.23985185185185187,0.23985185185185187
combined,1.5,1.05,0.6,74,47,63.51351351351351,16.15,21.824324324324323,74.0,16.15,0.21824324324324323,0.21824324324324323
combined,1.5,1.05,0.65,19,11,57.89473684210527,0.6499999999999997,3.4210526315789456,19.0,0.6499999999999997,0.034210526315789434,0.034210526315789434
combined,1.5,1.05,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.5,1.1,0.35,257,121,47.081712062256805,40.17999999999998,15.63424124513618,257.0,40.17999999999998,0.15634241245136188,0.15634241245136188
combined,1.5,1.1,0.4,233,114,48.927038626609445,38.68999999999998,16.605150214592268,233.0,38.68999999999998,0.16605150214592276,0.16605150214592276
combined,1.5,1.1,0.45,198,100,50.505050505050505,33.00000000000001,16.66666666666667,198.0,33.00000000000001,0.1666666666666667,0.1666666666666667
combined,1.5,1.1,0.5,148,78,52.702702702702695,27.13,18.33108108108108,148.0,27.13,0.1833108108108108,0.1833108108108108
combined,1.5,1.1,0.55,100,57,56.99999999999999,23.65,23.65,100.0,23.65,0.23650000000000002,0.23650000000000002
combined,1.5,1.1,0.6,51,30,58.82352941176471,10.399999999999999,20.392156862745097,51.0,10.399999999999999,0.20392156862745098,0.20392156862745098
combined,1.5,1.1,0.65,11,5,45.45454545454545,-1.2199999999999995,-11.090909090909086,11.0,-1.2199999999999995,-0.11090909090909086,-0.11090909090909086
combined,1.5,1.1,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.5,1.15,0.35,196,95,48.46938775510204,45.27999999999998,23.102040816326518,196.0,45.27999999999998,0.2310204081632653,0.2310204081632653
combined,1.5,1.15,0.4,178,88,49.43820224719101,37.789999999999985,21.230337078651676,178.0,37.789999999999985,0.21230337078651682,0.21230337078651682
combined,1.5,1.15,0.45,152,78,51.31578947368421,33.54,22.065789473684212,152.0,33.54,0.22065789473684205,0.22065789473684205
combined,1.5,1.15,0.5,118,65,55.08474576271186,32.589999999999996,27.618644067796605,118.0,32.589999999999996,0.2761864406779661,0.2761864406779661
combined,1.5,1.15,0.55,79,46,58.22784810126582,24.44,30.93670886075949,79.0,24.44,0.30936708860759493,0.30936708860759493
combined,1.5,1.15,0.6,35,22,62.857142857142854,12.049999999999999,34.42857142857142,35.0,12.049999999999999,0.3442857142857143,0.3442857142857143
combined,1.5,1.15,0.65,9,4,44.44444444444444,-0.8999999999999997,-9.999999999999996,9.0,-0.8999999999999997,-0.09999999999999996,-0.09999999999999996
combined,1.5,1.15,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,1.5,1.2,0.35,149,73,48.99328859060403,40.44999999999999,27.147651006711403,149.0,40.44999999999999,0.27147651006711404,0.27147651006711404
combined,1.5,1.2,0.4,137,68,49.63503649635037,33.39999999999999,24.379562043795612,137.0,33.39999999999999,0.24379562043795625,0.24379562043795625
combined,1.5,1.2,0.45,120,62,51.66666666666667,30.950000000000003,25.791666666666668,120.0,30.950000000000003,0.2579166666666667,0.2579166666666667
combined,1.5,1.2,0.5,95,53,55.78947368421052,30.849999999999994,32.47368421052631,95.0,30.849999999999994,0.32473684210526316,0.32473684210526316
combined,1.5,1.2,0.55,66,39,59.09090909090909,23.900000000000002,36.21212121212122,66.0,23.900000000000002,0.3621212121212121,0.3621212121212121
