Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Time_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie,bookie_gap
2024-09-20,Verona,Torino,0.2278160792172936,0.2647905082940401,0.5073934124886663,Away,0.5073934124886663,A,19:45:00,A,2.7,3.0,2.8,2.8,3.0,2.8,2.75,2.95,2.8,2.85,3.02,2.9,2.88,2.9,2.8,both,2025-09-06 19:45:00,42,A,True,18,0.4285714285714285,1.970857278369449,2.9,PSA,0.929142721630551
2024-09-21,Venezia,Genoa,0.2353958132104559,0.2639257500672511,0.500678436722293,Away,0.500678436722293,A,14:00:00,H,3.25,3.2,2.35,3.1,3.2,2.45,3.0,3.25,2.37,3.24,3.26,2.39,3.25,3.25,2.3,both,2025-09-06 14:00:00,43,A,False,18,0.4186046511627907,1.9972899303323928,2.45,BFA,0.4527100696676074
2024-09-21,Juventus,Napoli,0.5545325083235697,0.2555073805699825,0.1899601111064478,Home,0.5545325083235697,H,17:00:00,D,2.2,3.4,3.3,2.2,3.25,3.5,2.15,3.3,3.5,2.26,3.28,3.49,2.2,3.3,3.4,both,2025-09-06 17:00:00,44,H,False,18,0.4090909090909091,1.803320788213376,2.26,PSH,0.45667921178662385
2024-09-21,Lecce,Parma,0.550715058434433,0.2684565049058723,0.1808284366596946,Home,0.550715058434433,H,19:45:00,D,2.2,3.5,3.25,2.2,3.4,3.4,2.25,3.4,3.1,2.22,3.46,3.39,2.2,3.4,3.3,both,2025-09-06 19:45:00,45,H,False,18,0.4,1.815821057885705,2.25,BWH,0.434178942114295
2024-09-22,Fiorentina,Lazio,0.4881328678982304,0.2555565387579182,0.2563105933438513,Home,0.4881328678982304,H,11:30:00,H,2.25,3.4,3.2,2.3,3.3,3.3,2.25,3.3,3.1,2.32,3.43,3.23,2.3,3.3,3.2,both,2025-09-06 11:30:00,46,H,True,19,0.4130434782608695,2.0486225488271925,2.32,PSH,0.2713774511728073
2024-09-22,Monza,Bologna,0.1981114010913892,0.2393940985678229,0.5624945003407879,Away,0.5624945003407879,A,14:00:00,A,3.3,3.1,2.4,3.3,3.1,2.4,3.1,3.2,2.35,3.21,3.23,2.43,3.2,3.2,2.38,both,2025-09-06 14:00:00,47,A,True,20,0.425531914893617,1.7777951595867143,2.43,PSA,0.6522048404132859
2024-09-24,Atalanta,Como,0.7325037354708448,0.1811704663133774,0.0863257982157776,Home,0.7325037354708448,H,19:45:00,A,1.44,4.5,7.0,1.44,4.6,7.0,1.44,4.6,6.75,1.5,4.69,6.4,1.44,4.6,7.0,both,2025-09-06 19:45:00,50,H,False,21,0.42,1.3651807514090173,1.5,PSH,0.1348192485909827
2024-09-28,Genoa,Juventus,0.1598499231863052,0.215430095375886,0.6247199814378086,Away,0.6247199814378086,A,17:00:00,A,5.5,3.5,1.7,5.5,3.6,1.67,5.25,3.5,1.7,5.56,3.6,1.73,5.8,3.6,1.67,both,2025-09-06 17:00:00,53,A,True,24,0.4528301886792453,1.6007171688321464,1.73,PSA,0.12928283116785355
2024-09-28,Bologna,Atalanta,0.5119179589902889,0.2792906900393666,0.2087913509703444,Home,0.5119179589902889,H,19:45:00,D,3.0,3.3,2.4,3.1,3.25,2.4,2.85,3.3,2.45,3.03,3.28,2.52,3.0,3.4,2.38,both,2025-09-06 19:45:00,54,H,False,24,0.4444444444444444,1.9534380117712768,3.1,BFH,1.1465619882287232
2024-09-29,Torino,Lazio,0.5482961392759512,0.254808346370611,0.1968955143534377,Home,0.5482961392759512,H,11:30:00,A,2.9,3.1,2.55,2.9,3.1,2.6,2.85,3.2,2.55,2.91,3.24,2.63,2.9,3.25,2.5,both,2025-09-06 11:30:00,55,H,False,24,0.4363636363636363,1.8238319192262475,2.91,PSH,1.0861680807737526
2024-09-29,Como,Verona,0.3430147314273371,0.2931208798574042,0.3638643887152586,Away,0.3638643887152586,A,14:00:00,H,2.1,3.4,3.6,2.1,3.4,3.7,2.15,3.3,3.5,2.13,3.39,3.7,2.15,3.3,3.5,both,2025-09-06 14:00:00,56,A,False,24,0.4285714285714285,2.748276641005801,3.7,BFA,0.9517233589941991
2024-09-29,Empoli,Fiorentina,0.2746946239176712,0.2822937559328474,0.4430116201494813,Away,0.4430116201494813,A,17:00:00,D,3.4,3.3,2.2,3.5,3.25,2.25,3.4,3.3,2.2,3.48,3.27,2.27,3.4,3.3,2.2,both,2025-09-06 17:00:00,58,A,False,25,0.4310344827586206,2.2572771334137447,2.27,PSA,0.012722866586255321
2024-09-30,Parma,Cagliari,0.2532827473470964,0.2812545616326268,0.4654626910202767,Away,0.4654626910202767,A,19:45:00,A,2.1,3.6,3.4,2.1,3.6,3.4,2.1,3.5,3.3,2.13,3.62,3.45,2.1,3.6,3.4,both,2025-09-06 19:45:00,60,A,True,27,0.45,2.1483999024885057,3.45,PSA,1.3016000975114945
2024-10-04,Napoli,Como,0.7086912539852811,0.1920404992243274,0.0992682467903914,Home,0.7086912539852811,H,17:30:00,H,1.45,4.33,7.0,1.4,4.6,8.0,1.44,4.6,7.0,1.46,4.58,7.73,1.44,4.6,7.0,both,2025-09-06 17:30:00,61,H,True,28,0.4590163934426229,1.4110517018187572,1.46,PSH,0.0489482981812428
2024-10-04,Verona,Venezia,0.5627402696882579,0.2620271053858614,0.1752326249258808,Home,0.5627402696882579,H,19:45:00,H,2.5,3.2,2.9,2.45,3.1,3.1,2.45,3.2,3.0,2.52,3.18,3.16,2.45,3.2,3.0,both,2025-09-06 19:45:00,62,H,True,29,0.4677419354838709,1.7770187311350076,2.52,PSH,0.7429812688649924
2024-10-05,Udinese,Lecce,0.5676499063624676,0.2676742116895135,0.1646758819480188,Home,0.5676499063624676,H,14:00:00,H,2.2,3.3,3.3,2.25,3.25,3.4,2.2,3.25,3.3,2.3,3.22,3.47,2.2,3.3,3.4,both,2025-09-06 14:00:00,63,H,True,30,0.4761904761904761,1.7616491939689658,2.3,PSH,0.538350806031034
2024-10-06,Juventus,Cagliari,0.7191356881640142,0.185865864901433,0.0949984469345527,Home,0.7191356881640142,H,11:30:00,D,1.38,5.0,8.0,1.33,5.0,10.0,1.38,4.75,8.5,1.38,4.94,9.15,1.4,4.6,9.0,both,2025-09-06 11:30:00,66,H,False,32,0.4848484848484848,1.390558160940455,1.4,WHH,0.009441839059544987
2024-10-06,Bologna,Parma,0.6287826568665672,0.2351656218971299,0.1360517212363028,Home,0.6287826568665672,H,14:00:00,D,1.8,3.7,4.33,1.85,3.75,4.33,1.77,3.8,4.33,1.87,3.8,4.23,1.83,3.7,4.2,both,2025-09-06 14:00:00,68,H,False,33,0.4852941176470588,1.5903746534348324,1.87,PSH,0.2796253465651677
2024-10-06,Monza,Roma,0.1697138923886894,0.2399832708734221,0.5903028367378884,Away,0.5903028367378884,A,17:00:00,D,4.2,3.4,1.91,4.2,3.4,1.91,4.1,3.3,1.95,4.29,3.38,1.98,4.2,3.3,1.95,both,2025-09-06 17:00:00,69,A,False,33,0.4782608695652174,1.694045730029295,1.98,PSA,0.28595426997070494
2024-10-06,Fiorentina,Milan,0.2295875069663941,0.2474147883301025,0.5229977047035033,Away,0.5229977047035033,A,19:45:00,H,3.1,3.6,2.2,3.4,3.5,2.2,3.1,3.5,2.2,3.35,3.55,2.21,3.2,3.5,2.2,both,2025-09-06 19:45:00,70,A,False,33,0.4714285714285714,1.9120542805573453,2.21,PSA,0.2979457194426547
2024-10-19,Genoa,Bologna,0.2051807986299432,0.2605552604148001,0.5342639409552566,Away,0.5342639409552566,A,14:00:00,D,3.75,3.1,2.15,3.8,3.1,2.2,3.6,3.1,2.15,3.85,3.16,2.19,3.6,3.2,2.2,both,2025-09-06 14:00:00,71,A,False,33,0.4647887323943662,1.871734031332928,2.2,BFA,0.32826596866707214
2024-10-19,Juventus,Lazio,0.533651882549732,0.2698389163297949,0.196509201120473,Home,0.533651882549732,H,19:45:00,H,2.05,3.3,3.8,2.05,3.3,3.9,2.05,3.25,3.8,2.05,3.34,4.05,2.05,3.3,3.8,both,2025-09-06 19:45:00,74,H,True,35,0.4729729729729729,1.8738807689052013,2.05,B365H,0.17611923109479855
2024-10-20,Empoli,Napoli,0.1466027469420085,0.20870086898815,0.6446963840698414,Away,0.6446963840698414,A,11:30:00,A,6.0,3.5,1.67,6.0,3.6,1.67,5.25,3.8,1.66,5.58,3.79,1.68,5.5,3.75,1.67,both,2025-09-06 11:30:00,75,A,True,36,0.48,1.5511177427228562,1.68,PSA,0.12888225727714375
