label,multiplier,min_prob,n_bets,wins,winrate_pct,final_capital,roi_pct,total_staked,total_profit,avg_profit_per_bet,ev_per_bet
combined,1.4,0.4,173,90,52.02312138728323,39.52999999999996,22.849710982658937,173.0,39.52999999999996,0.22849710982658955,0.22849710982658955
combined,1.4,0.45,156,84,53.84615384615385,37.07999999999997,23.769230769230752,156.0,37.07999999999997,0.23769230769230767,0.23769230769230767
combined,1.4,0.5,131,75,57.25190839694656,36.97999999999998,28.22900763358777,131.0,36.97999999999998,0.2822900763358779,0.2822900763358779
combined,1.4,0.55,100,59,59.0,27.579999999999995,27.579999999999995,100.0,27.579999999999995,0.2758,0.2758
combined,1.4,0.6,58,37,63.793103448275865,17.319999999999997,29.862068965517235,58.0,17.319999999999997,0.2986206896551724,0.2986206896551724
combined,1.4,0.65,30,18,60.0,4.559999999999999,15.199999999999998,30.0,4.559999999999999,0.15199999999999997,0.15199999999999997
combined,1.4,0.7,10,6,60.0,0.9899999999999998,9.899999999999999,10.0,0.9899999999999998,0.09899999999999998,0.09899999999999998
combined,1.5,0.35,146,78,53.42465753424658,47.049999999999976,32.22602739726026,146.0,47.049999999999976,0.3222602739726027,0.3222602739726027
combined,1.5,0.4,138,74,53.62318840579711,39.399999999999984,28.550724637681146,138.0,39.399999999999984,0.2855072463768116,0.2855072463768116
combined,1.5,0.45,124,69,55.64516129032258,36.99999999999998,29.838709677419338,124.0,36.99999999999998,0.29838709677419356,0.29838709677419356
combined,1.5,0.5,109,63,57.798165137614674,34.389999999999986,31.55045871559632,109.0,34.389999999999986,0.3155045871559633,0.3155045871559633
combined,1.5,0.55,86,52,60.46511627906976,28.630000000000003,33.29069767441861,86.0,28.630000000000003,0.332906976744186,0.332906976744186
combined,1.5,0.6,51,32,62.745098039215684,15.530000000000005,30.450980392156872,51.0,15.530000000000005,0.30450980392156857,0.30450980392156857
combined,1.5,0.65,28,16,57.14285714285714,3.289999999999999,11.749999999999996,28.0,3.289999999999999,0.11749999999999997,0.11749999999999997
combined,1.5,0.7,9,5,55.55555555555556,0.4099999999999997,4.555555555555553,9.0,0.4099999999999997,0.04555555555555552,0.04555555555555552
