2024-03-03 Napoli vs Juventus: combined_future_rows=496, features_future_rows=496
2024-03-04 Inter vs Genoa: combined_future_rows=491, features_future_rows=491
2024-03-08 Napoli vs Torino: combined_future_rows=490, features_future_rows=490
2024-03-09 Bologna vs Inter: combined_future_rows=489, features_future_rows=489
2024-03-09 Genoa vs Monza: combined_future_rows=489, features_future_rows=489
2024-03-09 Cagliari vs Salernitana: combined_future_rows=489, features_future_rows=489
2024-03-09 Sassuolo vs Frosinone: combined_future_rows=489, features_future_rows=489
2024-03-10 Lecce vs Verona: combined_future_rows=485, features_future_rows=485
2024-03-10 Milan vs Empoli: combined_future_rows=485, features_future_rows=485
2024-03-10 Juventus vs Atalanta: combined_future_rows=485, features_future_rows=485
2024-03-10 Fiorentina vs Roma: combined_future_rows=485, features_future_rows=485
2024-03-11 Lazio vs Udinese: combined_future_rows=481, features_future_rows=481
2024-03-15 Empoli vs Bologna: combined_future_rows=480, features_future_rows=480
2024-03-16 Frosinone vs Lazio: combined_future_rows=479, features_future_rows=479
2024-03-16 Salernitana vs Lecce: combined_future_rows=479, features_future_rows=479
2024-03-16 Monza vs Cagliari: combined_future_rows=479, features_future_rows=479
2024-03-16 Udinese vs Torino: combined_future_rows=479, features_future_rows=479
2024-03-17 Inter vs Napoli: combined_future_rows=475, features_future_rows=475
2024-03-17 Roma vs Sassuolo: combined_future_rows=475, features_future_rows=475
2024-03-17 Verona vs Milan: combined_future_rows=475, features_future_rows=475
2024-03-17 Juventus vs Genoa: combined_future_rows=475, features_future_rows=475
2024-03-30 Fiorentina vs Milan: combined_future_rows=471, features_future_rows=471
2024-03-30 Lazio vs Juventus: combined_future_rows=471, features_future_rows=471
2024-03-30 Napoli vs Atalanta: combined_future_rows=471, features_future_rows=471
2024-03-30 Genoa vs Frosinone: combined_future_rows=471, features_future_rows=471
2024-03-30 Torino vs Monza: combined_future_rows=471, features_future_rows=471
2024-04-01 Inter vs Empoli: combined_future_rows=466, features_future_rows=466
2024-04-01 Lecce vs Roma: combined_future_rows=466, features_future_rows=466
2024-04-01 Bologna vs Salernitana: combined_future_rows=466, features_future_rows=466
2024-04-01 Cagliari vs Verona: combined_future_rows=466, features_future_rows=466
2024-04-01 Sassuolo vs Udinese: combined_future_rows=466, features_future_rows=466
2024-04-05 Salernitana vs Sassuolo: combined_future_rows=461, features_future_rows=461
2024-04-06 Roma vs Lazio: combined_future_rows=460, features_future_rows=460
2024-04-06 Empoli vs Torino: combined_future_rows=460, features_future_rows=460
2024-04-06 Milan vs Lecce: combined_future_rows=460, features_future_rows=460
2024-04-07 Cagliari vs Atalanta: combined_future_rows=457, features_future_rows=457
2024-04-07 Juventus vs Fiorentina: combined_future_rows=457, features_future_rows=457
2024-04-07 Frosinone vs Bologna: combined_future_rows=457, features_future_rows=457
2024-04-07 Monza vs Napoli: combined_future_rows=457, features_future_rows=457
2024-04-07 Verona vs Genoa: combined_future_rows=457, features_future_rows=457
2024-04-08 Udinese vs Inter: combined_future_rows=452, features_future_rows=452
2024-04-12 Lazio vs Salernitana: combined_future_rows=451, features_future_rows=451
2024-04-13 Bologna vs Monza: combined_future_rows=450, features_future_rows=450
2024-04-13 Lecce vs Empoli: combined_future_rows=450, features_future_rows=450
2024-04-13 Torino vs Juventus: combined_future_rows=450, features_future_rows=450
2024-04-14 Sassuolo vs Milan: combined_future_rows=447, features_future_rows=447
2024-04-14 Inter vs Cagliari: combined_future_rows=447, features_future_rows=447
2024-04-14 Napoli vs Frosinone: combined_future_rows=447, features_future_rows=447
2024-04-15 Atalanta vs Verona: combined_future_rows=444, features_future_rows=444
2024-04-15 Fiorentina vs Genoa: combined_future_rows=444, features_future_rows=444
2024-04-19 Genoa vs Lazio: combined_future_rows=442, features_future_rows=442
2024-04-19 Cagliari vs Juventus: combined_future_rows=442, features_future_rows=442
2024-04-20 Empoli vs Napoli: combined_future_rows=440, features_future_rows=440
2024-04-20 Verona vs Udinese: combined_future_rows=440, features_future_rows=440
2024-04-21 Monza vs Atalanta: combined_future_rows=438, features_future_rows=438
2024-04-21 Salernitana vs Fiorentina: combined_future_rows=438, features_future_rows=438
2024-04-21 Sassuolo vs Lecce: combined_future_rows=438, features_future_rows=438
2024-04-21 Torino vs Frosinone: combined_future_rows=438, features_future_rows=438
2024-04-22 Roma vs Bologna: combined_future_rows=434, features_future_rows=434
2024-04-22 Milan vs Inter: combined_future_rows=434, features_future_rows=434
2024-04-25 Udinese vs Roma: combined_future_rows=432, features_future_rows=432
2024-04-26 Frosinone vs Salernitana: combined_future_rows=431, features_future_rows=431
2024-04-27 Lazio vs Verona: combined_future_rows=430, features_future_rows=430
2024-04-27 Juventus vs Milan: combined_future_rows=430, features_future_rows=430
2024-04-27 Lecce vs Monza: combined_future_rows=430, features_future_rows=430
2024-04-28 Fiorentina vs Sassuolo: combined_future_rows=427, features_future_rows=427
2024-04-28 Napoli vs Roma: combined_future_rows=427, features_future_rows=427
2024-04-28 Atalanta vs Empoli: combined_future_rows=427, features_future_rows=427
2024-04-28 Inter vs Torino: combined_future_rows=427, features_future_rows=427
2024-04-28 Bologna vs Udinese: combined_future_rows=427, features_future_rows=427
2024-04-29 Genoa vs Cagliari: combined_future_rows=422, features_future_rows=422
2024-05-03 Torino vs Bologna: combined_future_rows=421, features_future_rows=421
2024-05-04 Monza vs Lazio: combined_future_rows=420, features_future_rows=420
2024-05-04 Sassuolo vs Inter: combined_future_rows=420, features_future_rows=420
2024-05-05 Roma vs Juventus: combined_future_rows=418, features_future_rows=418
2024-05-05 Milan vs Genoa: combined_future_rows=418, features_future_rows=418
2024-05-05 Cagliari vs Lecce: combined_future_rows=418, features_future_rows=418
2024-05-05 Empoli vs Frosinone: combined_future_rows=418, features_future_rows=418
2024-05-05 Verona vs Fiorentina: combined_future_rows=418, features_future_rows=418
2024-05-06 Udinese vs Napoli: combined_future_rows=413, features_future_rows=413
2024-05-06 Salernitana vs Atalanta: combined_future_rows=413, features_future_rows=413
2024-05-10 Frosinone vs Inter: combined_future_rows=411, features_future_rows=411
2024-05-11 Napoli vs Bologna: combined_future_rows=410, features_future_rows=410
2024-05-11 Milan vs Cagliari: combined_future_rows=410, features_future_rows=410
2024-05-12 Atalanta vs Roma: combined_future_rows=408, features_future_rows=408
2024-05-12 Juventus vs Salernitana: combined_future_rows=408, features_future_rows=408
2024-05-12 Genoa vs Sassuolo: combined_future_rows=408, features_future_rows=408
2024-05-12 Lazio vs Empoli: combined_future_rows=408, features_future_rows=408
2024-05-12 Verona vs Torino: combined_future_rows=408, features_future_rows=408
2024-05-13 Lecce vs Udinese: combined_future_rows=403, features_future_rows=403
2024-05-13 Fiorentina vs Monza: combined_future_rows=403, features_future_rows=403
2024-05-17 Fiorentina vs Napoli: combined_future_rows=401, features_future_rows=401
2024-05-18 Lecce vs Atalanta: combined_future_rows=400, features_future_rows=400
2024-05-18 Torino vs Milan: combined_future_rows=400, features_future_rows=400
2024-05-19 Udinese vs Empoli: combined_future_rows=398, features_future_rows=398
2024-05-19 Roma vs Genoa: combined_future_rows=398, features_future_rows=398
2024-05-19 Inter vs Lazio: combined_future_rows=398, features_future_rows=398
2024-05-19 Monza vs Frosinone: combined_future_rows=398, features_future_rows=398
2024-05-19 Sassuolo vs Cagliari: combined_future_rows=398, features_future_rows=398
2024-05-20 Salernitana vs Verona: combined_future_rows=393, features_future_rows=393
2024-05-20 Bologna vs Juventus: combined_future_rows=393, features_future_rows=393
2024-05-23 Cagliari vs Fiorentina: combined_future_rows=391, features_future_rows=391
2024-05-24 Genoa vs Bologna: combined_future_rows=390, features_future_rows=390
2024-05-25 Milan vs Salernitana: combined_future_rows=389, features_future_rows=389
2024-05-25 Juventus vs Monza: combined_future_rows=389, features_future_rows=389
2024-05-26 Lazio vs Sassuolo: combined_future_rows=387, features_future_rows=387
2024-05-26 Frosinone vs Udinese: combined_future_rows=387, features_future_rows=387
2024-05-26 Verona vs Inter: combined_future_rows=387, features_future_rows=387
