match_index,Date,HomeTeam,AwayTeam,predicted,predicted_pct,fair_odds,max_bookie_odds,max_bookie,stake,profit,capital_after,pred_correct
436,2024-09-29,Como,Verona,Away,0.3638643887152586,2.748276641005801,3.7,BFA,1.0,-1.0,35.06,False
440,2024-09-30,Parma,Cagliari,Away,0.4654626910202767,2.1483999024885057,3.45,PSA,1.0,2.45,37.51,True
442,2024-10-04,Verona,Venezia,Home,0.5627402696882579,1.7770187311350076,2.52,PSH,1.0,1.52,39.03,True
443,2024-10-05,Udinese,Lecce,Home,0.5676499063624676,1.7616491939689658,2.3,PSH,1.0,1.2999999999999998,40.33,True
456,2024-10-20,Lecce,Fiorentina,Away,0.5716400155915592,1.749352691772556,2.4,BWA,1.0,1.4,41.73,True
458,2024-10-20,Cagliari,Torino,Away,0.5326987965396427,1.8772334506777533,2.72,PSA,1.0,-1.0,40.73,False
461,2024-10-25,Udinese,Cagliari,Home,0.5521551612315988,1.811085126451539,2.3,WHH,1.0,1.2999999999999998,42.03,True
462,2024-10-25,Torino,Como,Home,0.6215204638059336,1.608957481265242,2.75,PSH,1.0,1.75,43.78,True
465,2024-10-27,Parma,Empoli,Away,0.4901262318496838,2.040290714957466,3.5,B365A,1.0,-1.0,42.78,False
469,2024-10-27,Fiorentina,Roma,Home,0.5178994715786631,1.930876656336019,2.63,BFH,1.0,1.63,44.41,True
470,2024-10-29,Cagliari,Bologna,Away,0.505308126919352,1.9789905341451228,2.5,BFA,1.0,1.5,45.91,True
472,2024-10-29,Milan,Napoli,Home,0.5332730043707367,1.87521211800324,2.59,PSH,1.0,-1.0,44.91,False
473,2024-10-30,Venezia,Udinese,Away,0.4873033538717364,2.0521098245164366,2.77,PSA,1.0,-1.0,43.91,False
478,2024-10-31,Como,Lazio,Away,0.6478766364913617,1.5435037222758892,2.52,PSA,1.0,1.52,45.43,True
481,2024-11-02,Udinese,Juventus,Away,0.6857199163150969,1.458321358629589,2.01,PSA,1.0,1.0099999999999998,46.44,True
490,2024-11-07,Genoa,Como,Home,0.4221490717259429,2.368831455465559,3.11,PSH,1.0,-1.0,45.44,False
491,2024-11-08,Lecce,Empoli,Away,0.4053251585426181,2.467155020911081,3.48,PSA,1.0,-1.0,44.44,False
504,2024-11-24,Como,Fiorentina,Away,0.7465537636660764,1.339488257469005,2.36,PSA,1.0,1.3599999999999999,45.8,True
511,2024-11-30,Como,Monza,Away,0.4029171486497619,2.481899823204735,3.98,PSA,1.0,-1.0,44.8,False
515,2024-12-01,Parma,Lazio,Away,0.6767903035621382,1.4775625400315548,1.88,BWA,1.0,-1.0,43.8,False
518,2024-12-02,Roma,Atalanta,Away,0.5817830369945419,1.7188538276501548,2.3,BWA,1.0,1.2999999999999998,45.1,True
529,2024-12-13,Empoli,Torino,Away,0.4316459410330152,2.31671354908794,3.15,PSA,1.0,2.15,47.25,True
535,2024-12-15,Parma,Verona,Away,0.3548920750602738,2.817758046105039,4.49,PSA,1.0,3.49,50.74,True
536,2024-12-15,Como,Roma,Away,0.5585593318055081,1.7903201021949853,2.29,PSA,1.0,-1.0,49.74,False
540,2024-12-21,Torino,Bologna,Home,0.3973448221945409,2.5167057531465646,3.43,PSH,1.0,-1.0,48.74,False
556,2024-12-29,Milan,Roma,Home,0.5980265201017345,1.6721666454355284,2.26,PSH,1.0,-1.0,47.74,False
566,2025-01-10,Lazio,Como,Home,0.719779595276536,1.3893141825113904,1.94,PSH,1.0,-1.0,46.74,False
573,2025-01-12,Bologna,Roma,Home,0.5514928873980524,1.8132600126866687,2.81,PSH,1.0,-1.0,45.74,False
589,2025-01-24,Torino,Cagliari,Home,0.5465783368171862,1.8295639117773332,2.3,WHH,1.0,1.2999999999999998,47.04,True
597,2025-01-27,Venezia,Verona,Away,0.363885746827955,2.7481153321259364,3.45,PSA,1.0,-1.0,46.04,False
603,2025-02-01,Bologna,Como,Home,0.6794310196796873,1.4718197595267912,1.91,BFH,1.0,0.9099999999999999,46.95,True
607,2025-02-02,Roma,Napoli,Away,0.5684812288081583,1.7590730341202938,2.46,PSA,1.0,-1.0,45.95,False
610,2025-02-07,Como,Juventus,Away,0.6229680329110837,1.6052188028446237,2.07,PSA,1.0,1.0699999999999998,47.02,True
617,2025-02-09,Lecce,Bologna,Away,0.6619915328631105,1.510593338973694,1.91,B365A,1.0,-1.0,46.02,False
622,2025-02-15,Lazio,Napoli,Away,0.466175028420038,2.1451170462502107,2.85,PSA,1.0,-1.0,45.02,False
624,2025-02-16,Fiorentina,Como,Home,0.6447561302185293,1.550974008825735,2.08,PSH,1.0,-1.0,44.02,False
627,2025-02-16,Parma,Roma,Away,0.670848272506451,1.4906500336711888,2.09,PSA,1.0,1.0899999999999999,45.11,True
635,2025-02-23,Como,Napoli,Away,0.6732331107444129,1.485369605327747,2.26,PSA,1.0,-1.0,44.11,False
640,2025-02-27,Bologna,Milan,Home,0.4806021761561496,2.080722996300158,2.91,PSH,1.0,1.9100000000000001,46.02,True
643,2025-03-01,Napoli,Inter,Home,0.381807702978245,2.619119499684319,3.31,PSH,1.0,-1.0,45.02,False
653,2025-03-08,Parma,Torino,Away,0.5563780459385216,1.7973390706190762,2.46,PSA,1.0,-1.0,44.02,False
658,2025-03-09,Empoli,Roma,Away,0.6367984031341872,1.5703556966823586,2.0,B365A,1.0,1.0,45.02,True
