2025-03-01 Atalanta vs Venezia: combined_future_rows=119, features_future_rows=119
2025-03-01 Udinese vs Parma: combined_future_rows=119, features_future_rows=119
2025-03-02 Bologna vs Cagliari: combined_future_rows=116, features_future_rows=116
2025-03-02 Genoa vs Empoli: combined_future_rows=116, features_future_rows=116
2025-03-02 Roma vs Como: combined_future_rows=116, features_future_rows=116
2025-03-02 Milan vs Lazio: combined_future_rows=116, features_future_rows=116
2025-03-02 Monza vs Torino: combined_future_rows=116, features_future_rows=116
2025-03-03 Juventus vs Verona: combined_future_rows=111, features_future_rows=111
2025-03-07 Cagliari vs Genoa: combined_future_rows=110, features_future_rows=110
2025-03-08 Inter vs Monza: combined_future_rows=109, features_future_rows=109
2025-03-08 Lecce vs Milan: combined_future_rows=109, features_future_rows=109
2025-03-08 Como vs Venezia: combined_future_rows=109, features_future_rows=109
2025-03-08 Parma vs Torino: combined_future_rows=109, features_future_rows=109
2025-03-09 Verona vs Bologna: combined_future_rows=105, features_future_rows=105
2025-03-09 Napoli vs Fiorentina: combined_future_rows=105, features_future_rows=105
2025-03-09 Empoli vs Roma: combined_future_rows=105, features_future_rows=105
2025-03-09 Juventus vs Atalanta: combined_future_rows=105, features_future_rows=105
2025-03-10 Lazio vs Udinese: combined_future_rows=101, features_future_rows=101
2025-03-14 Genoa vs Lecce: combined_future_rows=100, features_future_rows=100
2025-03-15 Torino vs Empoli: combined_future_rows=99, features_future_rows=99
2025-03-15 Udinese vs Verona: combined_future_rows=99, features_future_rows=99
2025-03-15 Milan vs Como: combined_future_rows=99, features_future_rows=99
2025-03-15 Monza vs Parma: combined_future_rows=99, features_future_rows=99
2025-03-16 Venezia vs Napoli: combined_future_rows=95, features_future_rows=95
2025-03-16 Bologna vs Lazio: combined_future_rows=95, features_future_rows=95
2025-03-16 Roma vs Cagliari: combined_future_rows=95, features_future_rows=95
2025-03-16 Fiorentina vs Juventus: combined_future_rows=95, features_future_rows=95
2025-03-16 Atalanta vs Inter: combined_future_rows=95, features_future_rows=95
2025-03-29 Lecce vs Roma: combined_future_rows=90, features_future_rows=90
2025-03-29 Juventus vs Genoa: combined_future_rows=90, features_future_rows=90
2025-03-29 Como vs Empoli: combined_future_rows=90, features_future_rows=90
2025-03-29 Venezia vs Bologna: combined_future_rows=90, features_future_rows=90
2025-03-30 Napoli vs Milan: combined_future_rows=86, features_future_rows=86
2025-03-30 Inter vs Udinese: combined_future_rows=86, features_future_rows=86
2025-03-30 Cagliari vs Monza: combined_future_rows=86, features_future_rows=86
2025-03-30 Fiorentina vs Atalanta: combined_future_rows=86, features_future_rows=86
