Date,HomeTeam,AwayTeam,prob_home,prob_draw,prob_away,predicted,predicted_pct,sim_source,predicted_norm,Time,FTR,B365H,B365D,B365A,BFH,BFD,BFA,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,_merge,Date_str,Time_str,DateTime_sort,match_index,pred_FTR,correct,cum_correct,cum_accuracy,fair_odds,max_bookie_odds,max_bookie
2023-09-23,Sassuolo,Juventus,0.1412202521578364,0.1997405429896408,0.6590392048525228,Away,0.6590392048525228,simulation_2023_2024_predictions.csv,A,17:00:00,H,4.0,4.0,1.8,,,,4.1,3.9,1.8,4.1,3.9,1.8,,,,4.35,4.03,1.81,4.0,3.5,1.7,both,2023-09-23,17:00:00,2023-09-23 17:00:00,44,A,False,25,0.5681818181818182,1.517360412911666,1.81,PSA
2023-09-23,Lazio,Monza,0.569442904180893,0.2791892851930747,0.1513678106260323,Home,0.569442904180893,simulation_2023_2024_predictions.csv,H,19:45:00,D,1.8,3.8,4.2,,,,1.8,3.7,4.33,1.8,3.75,4.3,,,,1.8,3.94,4.52,1.7,3.5,4.0,both,2023-09-23,19:45:00,2023-09-23 19:45:00,45,H,False,25,0.5555555555555556,1.7561023109743297,1.8,B365H
2023-09-24,Empoli,Inter,0.0918078271460743,0.1605416711838398,0.7476505016700856,Away,0.7476505016700856,simulation_2023_2024_predictions.csv,A,11:30:00,A,9.0,5.25,1.33,,,,8.25,5.25,1.35,8.25,5.5,1.35,,,,9.73,5.6,1.33,8.0,4.8,1.25,both,2023-09-24,11:30:00,2023-09-24 11:30:00,46,A,True,26,0.5652173913043478,1.337523345154215,1.35,BWA
2023-09-24,Atalanta,Cagliari,0.694605717416722,0.1987079502597109,0.1066863323235672,Home,0.694605717416722,simulation_2023_2024_predictions.csv,H,14:00:00,H,1.4,5.0,8.0,,,,1.4,4.8,7.5,1.4,4.9,7.5,,,,1.41,5.11,7.79,1.3,4.5,7.5,both,2023-09-24,14:00:00,2023-09-24 14:00:00,47,H,True,27,0.574468085106383,1.439665662009027,1.41,PSH
2023-09-24,Udinese,Fiorentina,0.2091946173524489,0.2474389017069573,0.5433664809405937,Away,0.5433664809405937,simulation_2023_2024_predictions.csv,A,14:00:00,A,3.2,3.5,2.25,,,,3.1,3.4,2.3,3.1,3.45,2.25,,,,3.17,3.45,2.37,2.8,3.2,2.2,both,2023-09-24,14:00:00,2023-09-24 14:00:00,48,A,True,28,0.5833333333333334,1.840378519979649,2.37,PSA
2023-09-24,Bologna,Napoli,0.2634294121321723,0.3184112758129351,0.4181593120548925,Away,0.4181593120548925,simulation_2023_2024_predictions.csv,A,17:00:00,D,3.75,3.6,1.91,,,,3.8,3.7,1.9,3.7,3.65,1.97,,,,3.72,3.66,2.06,3.8,3.4,1.75,both,2023-09-24,17:00:00,2023-09-24 17:00:00,49,A,False,28,0.5714285714285714,2.3914330523595475,2.06,PSA
2023-09-24,Torino,Roma,0.4077288029001597,0.3098006431548574,0.2824705539449828,Home,0.4077288029001597,simulation_2023_2024_predictions.csv,H,19:45:00,D,3.1,2.9,2.6,,,,3.0,3.0,2.5,3.05,3.0,2.55,,,,3.09,3.1,2.62,2.88,2.7,2.45,both,2023-09-24,19:45:00,2023-09-24 19:45:00,50,H,False,28,0.56,2.4526106394422897,3.1,B365H
2023-09-26,Juventus,Lecce,0.6518059962691152,0.230270658467218,0.1179233452636668,Home,0.6518059962691152,simulation_2023_2024_predictions.csv,H,19:45:00,H,1.5,4.2,7.0,,,,1.5,4.2,6.75,1.5,4.2,7.0,,,,1.52,4.31,7.27,1.4,3.9,6.5,both,2023-09-26,19:45:00,2023-09-26 19:45:00,51,H,True,29,0.5686274509803921,1.5341988348126883,1.52,PSH
2023-09-27,Cagliari,Milan,0.1416861583096179,0.1984604479741486,0.6598533937162333,Away,0.6598533937162333,simulation_2023_2024_predictions.csv,A,17:30:00,A,5.25,3.8,1.67,,,,5.25,3.9,1.65,5.5,3.9,1.63,,,,5.46,3.96,1.68,5.5,3.5,1.53,both,2023-09-27,17:30:00,2023-09-27 17:30:00,52,A,True,30,0.5769230769230769,1.5154881516454624,1.68,PSA
2023-09-27,Empoli,Salernitana,0.499215722014842,0.2758841401464798,0.2249001378386783,Home,0.499215722014842,simulation_2023_2024_predictions.csv,H,17:30:00,H,2.3,3.3,3.2,,,,2.3,3.3,3.1,2.3,3.3,3.15,,,,2.41,3.22,3.31,2.1,3.2,3.0,both,2023-09-27,17:30:00,2023-09-27 17:30:00,53,H,True,31,0.5849056603773585,2.003142040406871,2.41,PSH
