season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts,__season_norm,__squad_norm,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2011-2012,Cagliari,0,25.0,26.6,50.05,38.0,418.0,3420.0,38.0,0.92,0.53,1.45,0.76,6.0,6.0,83.0,2.0,1.29,55.15,473.0,152.0,31.95,12.47,4.0,0.09,0.19,18.1,,,,,43,2011-2012,cagliari,25.0,17.0,25.2,26.058823529411764,0.28,0.08,0.36,0.44,0.92,35.0,20.0,,,,,0.0,82.0,2.0,7.6,0.0,7.6,4.031128874149275
2011-2012,Catania,0,33.0,27.5,50.05,38.0,418.0,3420.0,38.0,1.21,0.63,1.84,0.97,9.0,11.0,82.0,6.0,1.61,55.15,473.0,183.0,31.95,12.47,4.82,0.09,0.2,18.1,,,,,48,2011-2012,catania,33.0,13.0,26.51515151515152,26.923076923076923,0.1212121212121212,0.1515151515151515,0.303030303030303,0.3939393939393939,0.8484848484848485,46.0,24.0,,,,,0.0,81.0,6.0,8.6,0.0,8.6,3.7426696030475033
2011-2012,Cesena,0,34.0,28.8,50.05,38.0,418.0,3420.0,38.0,0.61,0.26,0.87,0.5,4.0,7.0,105.0,10.0,0.76,55.15,473.0,135.0,31.95,12.47,3.55,0.09,0.14,18.1,,,,,22,2011-2012,cesena,34.0,17.0,25.47058823529412,28.5,0.3235294117647059,0.0588235294117647,0.3529411764705882,0.3823529411764705,0.9411764705882352,23.0,10.0,,,,,0.0,101.0,9.0,4.6,0.0,4.6,5.615105677073752
2011-2012,Chievo,0,26.0,28.0,50.05,38.0,418.0,3420.0,38.0,0.92,0.58,1.5,0.84,3.0,5.0,85.0,1.0,1.42,55.15,473.0,134.0,31.95,12.47,3.53,0.09,0.24,18.1,,,,,49,2011-2012,chievo,26.0,18.0,27.192307692307693,27.235294117647054,0.1153846153846153,0.0769230769230769,0.4615384615384615,0.3846153846153846,0.9230769230769232,35.0,22.0,,,,,0.0,83.0,1.0,8.2,0.0,8.2,4.20494214722848
2011-2012,Fiorentina,0,28.0,27.0,50.05,38.0,418.0,3420.0,38.0,0.95,0.58,1.53,0.79,6.0,8.0,93.0,3.0,1.37,55.15,473.0,161.0,31.95,12.47,4.24,0.09,0.19,18.1,,,,,46,2011-2012,fiorentina,28.0,15.0,25.357142857142858,26.428571428571427,0.2857142857142857,0.0714285714285714,0.3928571428571428,0.5714285714285714,0.9285714285714286,36.0,22.0,,,,,0.0,94.0,3.0,8.0,0.0,8.0,4.531488887153044
2011-2012,Genoa,0,29.0,28.3,50.05,38.0,418.0,3420.0,38.0,1.29,0.76,2.05,1.16,5.0,6.0,95.0,11.0,1.92,55.15,473.0,162.0,31.95,12.47,4.26,0.09,0.27,18.1,,,,,42,2011-2012,genoa,29.0,16.0,25.89655172413793,28.666666666666668,0.1724137931034483,0.0344827586206896,0.4137931034482758,0.6551724137931034,0.9655172413793104,49.0,29.0,,,,,0.0,95.0,11.0,10.4,0.0,10.4,4.378068944720842
2011-2012,Inter,0,30.0,29.7,50.05,38.0,418.0,3420.0,38.0,1.5,1.03,2.53,1.29,8.0,11.0,63.0,4.0,2.32,55.15,473.0,199.0,31.95,12.47,5.24,0.09,0.25,18.1,,,,,58,2011-2012,inter,30.0,18.0,26.866666666666667,28.9375,0.2333333333333333,0.0666666666666666,0.3666666666666666,0.5333333333333333,0.9333333333333332,57.0,39.0,,,,,0.0,65.0,4.0,11.4,0.0,11.4,5.544387241621698
2011-2012,Juventus,1,25.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.76,1.18,2.95,1.71,2.0,4.0,72.0,4.0,2.89,55.15,473.0,264.0,31.95,12.47,6.95,0.09,0.25,18.1,,,,,84,2011-2012,juventus,25.0,12.0,27.36,27.08333333333333,0.04,0.08,0.4,0.56,0.92,67.0,45.0,,,,,0.0,68.0,4.0,14.0,0.0,14.0,3.7846179904097768
2011-2012,Lazio,0,32.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.42,0.97,2.39,1.24,7.0,7.0,81.0,9.0,2.21,55.15,473.0,180.0,31.95,12.47,4.74,0.09,0.26,18.1,,,,,62,2011-2012,lazio,32.0,19.0,27.4375,29.352941176470587,0.15625,0.09375,0.4375,0.53125,0.90625,54.0,37.0,,,,,0.0,79.0,9.0,10.6,0.0,10.6,4.891978292358136
2011-2012,Lecce,0,31.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.05,0.55,1.61,0.89,6.0,7.0,113.0,9.0,1.45,55.15,473.0,140.0,31.95,12.47,3.68,0.09,0.24,18.1,,,,,36,2011-2012,lecce,31.0,18.0,26.096774193548388,27.705882352941178,0.2258064516129032,0.1290322580645161,0.3225806451612903,0.4516129032258064,0.8709677419354839,40.0,21.0,,,,,0.0,112.0,9.0,8.2,0.0,8.2,4.621362271810319
2011-2012,Milan,0,32.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.89,1.16,3.05,1.63,10.0,10.0,79.0,4.0,2.79,55.15,473.0,220.0,31.95,12.47,5.79,0.09,0.28,18.1,,,,,80,2011-2012,milan,32.0,20.0,27.90625,29.0,0.15625,0.0625,0.40625,0.53125,0.9375,72.0,44.0,,,,,0.0,78.0,4.0,15.6,0.0,15.6,5.232401379247237
2011-2012,Napoli,0,25.0,28.3,50.05,38.0,418.0,3420.0,38.0,1.71,1.05,2.76,1.61,4.0,9.0,80.0,5.0,2.66,55.15,473.0,190.0,31.95,12.47,5.0,0.09,0.32,18.1,,,,,61,2011-2012,napoli,25.0,14.0,27.4,28.0,0.16,0.08,0.4,0.56,0.92,65.0,40.0,,,,,0.0,78.0,4.0,15.4,0.0,15.4,4.12310562561766
2011-2012,Novara,0,32.0,28.7,50.05,38.0,418.0,3420.0,38.0,0.89,0.45,1.34,0.74,6.0,7.0,83.0,6.0,1.18,55.15,473.0,153.0,31.95,12.47,4.03,0.09,0.18,18.1,,,,,32,2011-2012,novara,32.0,19.0,27.25,28.58823529411765,0.21875,0.09375,0.40625,0.40625,0.90625,34.0,17.0,,,,,0.0,82.0,6.0,6.8,0.0,6.8,4.983844868915901
2011-2012,Palermo,0,30.0,26.3,50.05,38.0,418.0,3420.0,38.0,1.32,0.89,2.21,1.18,5.0,5.0,91.0,6.0,2.08,55.15,473.0,189.0,31.95,12.47,4.97,0.09,0.24,18.1,,,,,43,2011-2012,palermo,30.0,18.0,25.1,26.11764705882353,0.3333333333333333,0.1333333333333333,0.4,0.4,0.8666666666666667,50.0,34.0,,,,,0.0,90.0,6.0,10.8,0.0,10.8,4.028775804479398
2011-2012,Parma,0,32.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.37,0.66,2.03,1.18,7.0,8.0,83.0,2.0,1.84,55.15,473.0,150.0,31.95,12.47,3.95,0.09,0.3,18.1,,,,,56,2011-2012,parma,32.0,14.0,26.53125,28.071428571428573,0.15625,0.0625,0.40625,0.53125,0.9375,52.0,25.0,,,,,0.0,81.0,2.0,11.0,0.0,11.0,4.550677900581265
2011-2012,Roma,0,30.0,26.9,50.05,38.0,418.0,3420.0,38.0,1.55,1.05,2.61,1.5,2.0,4.0,80.0,10.0,2.55,55.15,473.0,213.0,31.95,12.47,5.61,0.09,0.27,18.1,,,,,56,2011-2012,roma,30.0,16.0,26.133333333333333,25.53333333333333,0.3333333333333333,0.1,0.3666666666666666,0.5666666666666667,0.9,59.0,40.0,,,,,0.0,78.0,10.0,12.0,0.0,12.0,5.506944414247268
2011-2012,Siena,0,29.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.18,0.53,1.71,1.0,7.0,8.0,96.0,2.0,1.53,55.15,473.0,137.0,31.95,12.47,3.61,0.09,0.28,18.1,,,,,44,2011-2012,siena,29.0,15.0,27.55172413793104,27.933333333333334,0.1034482758620689,0.1034482758620689,0.3448275862068966,0.4482758620689655,0.896551724137931,45.0,20.0,,,,,0.0,96.0,2.0,8.4,0.0,8.4,3.439125791083623
