season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts
2012-2013,Inter,0,36.0,28.2,50.05,38.0,418.0,3420.0,38.0,1.37,1.11,2.47,1.26,4.0,5.0,87.0,4.0,2.37,55.15,473.0,196.0,31.95,12.47,5.16,0.09,0.24,18.1,,,,,54
2012-2013,Juventus,1,28.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.87,1.29,3.16,1.66,8.0,11.0,77.0,1.0,2.95,55.15,473.0,265.0,31.95,12.47,6.97,0.09,0.24,18.1,,,,,87
2012-2013,Lazio,0,28.0,29.1,50.05,38.0,418.0,3420.0,38.0,1.26,0.79,2.05,1.08,7.0,9.0,91.0,8.0,1.87,55.15,473.0,186.0,31.95,12.47,4.89,0.09,0.22,18.1,,,,,61
2012-2013,Milan,0,29.0,26.9,50.05,38.0,418.0,3420.0,38.0,1.68,0.95,2.63,1.42,10.0,11.0,99.0,7.0,2.37,55.15,473.0,241.0,31.95,12.47,6.34,0.09,0.22,18.1,,,,,72
2012-2013,Napoli,0,27.0,28.5,50.05,38.0,418.0,3420.0,38.0,1.89,1.45,3.34,1.71,7.0,10.0,90.0,0.0,3.16,55.15,473.0,235.0,31.95,12.47,6.18,0.09,0.28,18.1,,,,,78
2012-2013,Palermo,0,36.0,26.9,50.05,38.0,418.0,3420.0,38.0,0.89,0.68,1.58,0.84,2.0,2.0,98.0,8.0,1.53,55.15,473.0,178.0,31.95,12.47,4.68,0.09,0.18,18.1,,,,,32
2012-2013,Parma,0,33.0,28.1,50.05,38.0,418.0,3420.0,38.0,1.16,0.76,1.92,1.08,3.0,5.0,109.0,3.0,1.84,55.15,473.0,194.0,31.95,12.47,5.11,0.09,0.21,18.1,,,,,49
2012-2013,Pescara,0,39.0,25.8,50.05,38.0,418.0,3420.0,38.0,0.71,0.39,1.11,0.66,2.0,3.0,103.0,9.0,1.05,55.15,473.0,124.0,31.95,12.47,3.26,0.09,0.2,18.1,,,,,22
2012-2013,Roma,0,24.0,26.0,50.05,38.0,407.0,3420.0,38.0,1.79,1.13,2.92,1.66,5.0,7.0,91.0,8.0,2.79,55.15,473.0,229.0,31.95,12.47,6.03,0.09,0.28,18.1,,,,,62
2012-2013,Sampdoria,0,29.0,25.0,50.05,38.0,418.0,3420.0,38.0,1.08,0.76,1.84,0.92,6.0,7.0,93.0,9.0,1.68,55.15,473.0,148.0,31.95,12.47,3.89,0.09,0.24,18.1,,,,,42
