Season,Col1,Col2,Col3,Col4,Col5
2019-20,Hellas Verona,v Bologna FC,1-1 (1-1),,
2019-20,AS Roma,v Genoa CFC,3-3 (2-2),,
2019-20,Sampdoria,v Lazio Roma,0-3 (0-1),,
2019-20,SPAL 2013 Ferrara,v Atalanta,2-3 (2-1),,
2019-20,Torino FC,v Sassuolo Calcio,2-1 (1-0),,
2019-20,Mon Aug/26,,,,
2019-20,20.45,Inter,v US Lecce,4-0 (2-0),
2019-20,» Matchday 2,,,,
2019-20,Fri Aug/30,,,,
2019-20,20.45,Bologna FC,v SPAL 2013 Ferrara,1-0 (0-0),
2019-20,Sat Aug/31,,,,
2019-20,18.00,AC Milan,v Brescia Calcio,1-0 (1-0),
2019-20,20.45,Juventus,v SSC Napoli,4-3 (2-0),
2019-20,Sun Sep/1,,,,
2019-20,18.00,Lazio Roma,v AS Roma,1-1 (0-1),
2019-20,20.45,Atalanta,v Torino FC,2-3 (1-1),
2019-20,Cagliari Calcio,v Inter,1-2 (0-1),,
2019-20,Genoa CFC,v ACF Fiorentina,2-1 (1-0),,
2019-20,US Lecce,v Hellas Verona,0-1 (0-0),,
2019-20,Sassuolo Calcio,v Sampdoria,4-1 (3-0),,
2019-20,Udinese Calcio,v Parma Calcio 1913,1-3 (1-1),,
2019-20,» Matchday 3,,,,
2019-20,Sat Sep/14,,,,
2019-20,15.00,ACF Fiorentina,v Juventus,0-0,
2019-20,18.00,SSC Napoli,v Sampdoria,2-0 (1-0),
2019-20,20.45,Inter,v Udinese Calcio,1-0 (1-0),
2019-20,Sun Sep/15,,,,
2019-20,12.30,Genoa CFC,v Atalanta,1-2 (0-0),
2019-20,15.00,Brescia Calcio,v Bologna FC,3-4 (3-1),
2019-20,Parma Calcio 1913,v Cagliari Calcio,1-3 (0-2),,
2019-20,SPAL 2013 Ferrara,v Lazio Roma,2-1 (0-1),,
2019-20,18.00,AS Roma,v Sassuolo Calcio,4-2 (4-0),
2019-20,20.45,Hellas Verona,v AC Milan,0-1 (0-0),
2019-20,Mon Sep/16,,,,
2019-20,20.45,Torino FC,v US Lecce,1-2 (0-1),
2019-20,» Matchday 4,,,,
2019-20,Fri Sep/20,,,,
2019-20,20.45,Cagliari Calcio,v Genoa CFC,3-1 (0-0),
2019-20,Sat Sep/21,,,,
2019-20,15.00,Udinese Calcio,v Brescia Calcio,0-1 (0-0),
2019-20,18.00,Juventus,v Hellas Verona,2-1 (1-1),
2019-20,20.45,AC Milan,v Inter,0-2 (0-0),
2019-20,Sun Sep/22,,,,
2019-20,12.30,Sassuolo Calcio,v SPAL 2013 Ferrara,3-0 (2-0),
2019-20,15.00,Bologna FC,v AS Roma,1-2 (0-0),
2019-20,US Lecce,v SSC Napoli,1-4 (0-2),,
2019-20,Sampdoria,v Torino FC,1-0 (0-0),,
2019-20,18.00,Atalanta,v ACF Fiorentina,2-2 (0-1),
2019-20,20.45,Lazio Roma,v Parma Calcio 1913,2-0 (1-0),
2019-20,» Matchday 5,,,,
2019-20,Tue Sep/24,,,,
2019-20,19.00,Hellas Verona,v Udinese Calcio,0-0,
2019-20,21.00,Brescia Calcio,v Juventus,1-2 (1-1),
2019-20,Wed Sep/25,,,,
2019-20,19.00,AS Roma,v Atalanta,0-2 (0-0),
2019-20,21.00,ACF Fiorentina,v Sampdoria,2-1 (1-0),
2019-20,Genoa CFC,v Bologna FC,0-0,,
2019-20,Inter,v Lazio Roma,1-0 (1-0),,
2019-20,SSC Napoli,v Cagliari Calcio,0-1 (0-0),,
2019-20,Parma Calcio 1913,v Sassuolo Calcio,1-0 (0-0),,
2019-20,SPAL 2013 Ferrara,v US Lecce,1-3 (1-1),,
2019-20,Thu Sep/26,,,,
2019-20,21.00,Torino FC,v AC Milan,2-1 (0-1),
2019-20,» Matchday 6,,,,
2019-20,Sat Sep/28,,,,
2019-20,15.00,Juventus,v SPAL 2013 Ferrara,2-0 (1-0),
2019-20,18.00,Sampdoria,v Inter,1-3 (0-2),
2019-20,20.45,Sassuolo Calcio,v Atalanta,1-4 (0-4),
2019-20,Sun Sep/29,,,,
2019-20,12.30,SSC Napoli,v Brescia Calcio,2-1 (2-0),
2019-20,15.00,Lazio Roma,v Genoa CFC,4-0 (2-0),
2019-20,US Lecce,v AS Roma,0-1 (0-0),,
2019-20,Udinese Calcio,v Bologna FC,1-0 (1-0),,
2019-20,18.00,Cagliari Calcio,v Hellas Verona,1-1 (1-0),
2019-20,20.45,AC Milan,v ACF Fiorentina,1-3 (0-1),
2019-20,Mon Sep/30,,,,
2019-20,20.45,Parma Calcio 1913,v Torino FC,3-2 (2-2),
2019-20,» Matchday 7,,,,
2019-20,Sat Oct/5,,,,
2019-20,15.00,SPAL 2013 Ferrara,v Parma Calcio 1913,1-0 (1-0),
2019-20,18.00,Hellas Verona,v Sampdoria,2-0 (1-0),
2019-20,20.45,Genoa CFC,v AC Milan,1-2 (1-0),
2019-20,Sun Oct/6,,,,
2019-20,12.30,ACF Fiorentina,v Udinese Calcio,1-0 (0-0),
2019-20,15.00,Atalanta,v US Lecce,3-1 (2-0),
2019-20,Bologna FC,v Lazio Roma,2-2 (2-2),,
2019-20,AS Roma,v Cagliari Calcio,1-1 (1-1),,
2019-20,18.00,Torino FC,v SSC Napoli,0-0,
2019-20,20.45,Inter,v Juventus,1-2 (1-1),
2019-20,Wed Dec/18,,,,
2019-20,20.45,Brescia Calcio,v Sassuolo Calcio,0-2 (0-1),
2019-20,» Matchday 8,,,,
2019-20,Sat Oct/19,,,,
2019-20,15.00,Lazio Roma,v Atalanta,3-3 (0-3),
2019-20,18.00,SSC Napoli,v Hellas Verona,2-0 (1-0),
2019-20,20.45,Juventus,v Bologna FC,2-1 (1-1),
2019-20,Sun Oct/20,,,,
2019-20,12.30,Sassuolo Calcio,v Inter,3-4 (1-3),
2019-20,15.00,Cagliari Calcio,v SPAL 2013 Ferrara,2-0 (1-0),
2019-20,Sampdoria,v AS Roma,0-0,,
2019-20,Udinese Calcio,v Torino FC,1-0 (1-0),,
2019-20,18.00,Parma Calcio 1913,v Genoa CFC,5-1 (3-0),
2019-20,20.45,AC Milan,v US Lecce,2-2 (1-0),
2019-20,Mon Oct/21,,,,
2019-20,21.00,Brescia Calcio,v ACF Fiorentina,0-0,
2019-20,» Matchday 9,,,,
2019-20,Fri Oct/25,,,,
2019-20,20.45,Hellas Verona,v Sassuolo Calcio,0-1 (0-0),
2019-20,Sat Oct/26,,,,
2019-20,15.00,US Lecce,v Juventus,1-1 (0-0),
2019-20,18.00,Inter,v Parma Calcio 1913,2-2 (1-2),
2019-20,20.45,Genoa CFC,v Brescia Calcio,3-1 (0-1),
2019-20,Sun Oct/27,,,,
2019-20,12.30,Bologna FC,v Sampdoria,2-1 (0-0),
2019-20,15.00,Atalanta,v Udinese Calcio,7-1 (3-1),
2019-20,SPAL 2013 Ferrara,v SSC Napoli,1-1 (1-1),,
2019-20,Torino FC,v Cagliari Calcio,1-1 (0-1),,
2019-20,18.00,AS Roma,v AC Milan,2-1 (1-0),
2019-20,20.45,ACF Fiorentina,v Lazio Roma,1-2 (1-1),
2019-20,» Matchday 10,,,,
2019-20,Tue Oct/29,,,,
2019-20,19.00,Parma Calcio 1913,v Hellas Verona,0-1 (0-1),
2019-20,21.00,Brescia Calcio,v Inter,1-2 (0-1),
2019-20,Wed Oct/30,,,,
2019-20,19.00,SSC Napoli,v Atalanta,2-2 (1-1),
2019-20,21.00,Cagliari Calcio,v Bologna FC,3-2 (0-1),
2019-20,Juventus,v Genoa CFC,2-1 (1-1),,
2019-20,Lazio Roma,v Torino FC,4-0 (2-0),,
2019-20,Sampdoria,v US Lecce,1-1 (0-1),,
2019-20,Sassuolo Calcio,v ACF Fiorentina,1-2 (1-0),,
2019-20,Udinese Calcio,v AS Roma,0-4 (0-1),,
2019-20,Thu Oct/31,,,,
2019-20,21.00,AC Milan,v SPAL 2013 Ferrara,1-0 (0-0),
2019-20,» Matchday 11,,,,
2019-20,Sat Nov/2,,,,
2019-20,15.00,AS Roma,v SSC Napoli,2-1 (1-0),
2019-20,18.00,Bologna FC,v Inter,1-2 (0-0),
2019-20,20.45,Torino FC,v Juventus,0-1 (0-0),
2019-20,Sun Nov/3,,,,
2019-20,12.30,Atalanta,v Cagliari Calcio,0-2 (0-1),
2019-20,15.00,Genoa CFC,v Udinese Calcio,1-3 (1-1),
2019-20,Hellas Verona,v Brescia Calcio,2-1 (0-0),,
2019-20,US Lecce,v Sassuolo Calcio,2-2 (2-1),,
2019-20,18.00,ACF Fiorentina,v Parma Calcio 1913,1-1 (0-1),
2019-20,20.45,AC Milan,v Lazio Roma,1-2 (1-1),
2019-20,Mon Nov/4,,,,
2019-20,20.45,SPAL 2013 Ferrara,v Sampdoria,0-1 (0-0),
2019-20,» Matchday 12,,,,
2019-20,Fri Nov/8,,,,
2019-20,20.45,Sassuolo Calcio,v Bologna FC,3-1 (1-0),
2019-20,Sat Nov/9,,,,
2019-20,15.00,Brescia Calcio,v Torino FC,0-4 (0-2),
2019-20,18.00,Inter,v Hellas Verona,2-1 (0-1),
2019-20,20.45,SSC Napoli,v Genoa CFC,0-0,
2019-20,Sun Nov/10,,,,
2019-20,12.30,Cagliari Calcio,v ACF Fiorentina,5-2 (3-0),
2019-20,15.00,Lazio Roma,v US Lecce,4-2 (1-1),
2019-20,Sampdoria,v Atalanta,0-0,,
2019-20,Udinese Calcio,v SPAL 2013 Ferrara,0-0,,
2019-20,18.00,Parma Calcio 1913,v AS Roma,2-0 (0-0),
2019-20,20.45,Juventus,v AC Milan,1-0 (0-0),
2019-20,» Matchday 13,,,,
2019-20,Sat Nov/23,,,,
2019-20,15.00,Atalanta,v Juventus,1-3 (0-0),
2019-20,18.00,AC Milan,v SSC Napoli,1-1 (1-1),
2019-20,20.45,Torino FC,v Inter,0-3 (0-2),
2019-20,Sun Nov/24,,,,
2019-20,12.30,Bologna FC,v Parma Calcio 1913,2-2 (1-1),
2019-20,15.00,Hellas Verona,v ACF Fiorentina,1-0 (0-0),
2019-20,AS Roma,v Brescia Calcio,3-0 (0-0),,
2019-20,Sassuolo Calcio,v Lazio Roma,1-2 (1-1),,
2019-20,18.00,Sampdoria,v Udinese Calcio,2-1 (1-1),
2019-20,Mon Nov/25,,,,
2019-20,15.00,US Lecce,v Cagliari Calcio,2-2 (0-1),
2019-20,20.45,SPAL 2013 Ferrara,v Genoa CFC,1-1 (0-0),
2019-20,» Matchday 14,,,,
2019-20,Sat Nov/30,,,,
2019-20,15.00,Brescia Calcio,v Atalanta,0-3 (0-1),
2019-20,18.00,Genoa CFC,v Torino FC,0-1 (0-0),
2019-20,20.45,ACF Fiorentina,v US Lecce,0-1 (0-0),
2019-20,Sun Dec/1,,,,
2019-20,12.30,Juventus,v Sassuolo Calcio,2-2 (1-1),
2019-20,15.00,Inter,v SPAL 2013 Ferrara,2-1 (2-0),
2019-20,Lazio Roma,v Udinese Calcio,3-0 (3-0),,
2019-20,Parma Calcio 1913,v AC Milan,0-1 (0-0),,
2019-20,18.00,SSC Napoli,v Bologna FC,1-2 (1-0),
2019-20,20.45,Hellas Verona,v AS Roma,1-3 (1-2),
2019-20,Mon Dec/2,,,,
2019-20,20.45,Cagliari Calcio,v Sampdoria,4-3 (0-1),
2019-20,» Matchday 15,,,,
2019-20,Fri Dec/6,,,,
2019-20,20.45,Inter,v AS Roma,0-0,
2019-20,Sat Dec/7,,,,
2019-20,15.00,Atalanta,v Hellas Verona,3-2 (1-1),
2019-20,18.00,Udinese Calcio,v SSC Napoli,1-1 (1-0),
2019-20,20.45,Lazio Roma,v Juventus,3-1 (1-1),
2019-20,Sun Dec/8,,,,
2019-20,12.30,US Lecce,v Genoa CFC,2-2 (0-2),
2019-20,15.00,Sassuolo Calcio,v Cagliari Calcio,2-2 (2-0),
2019-20,SPAL 2013 Ferrara,v Brescia Calcio,0-1 (0-0),,
2019-20,Torino FC,v ACF Fiorentina,2-1 (1-0),,
2019-20,18.00,Sampdoria,v Parma Calcio 1913,0-1 (0-1),
2019-20,20.45,Bologna FC,v AC Milan,2-3 (1-2),
2019-20,» Matchday 16,,,,
2019-20,Sat Dec/14,,,,
2019-20,15.00,Brescia Calcio,v US Lecce,3-0 (2-0),
2019-20,18.30,SSC Napoli,v Parma Calcio 1913,1-2 (0-1),
2019-20,20.45,Genoa CFC,v Sampdoria,0-1 (0-0),
2019-20,Sun Dec/15,,,,
2019-20,12.30,Hellas Verona,v Torino FC,3-3 (0-1),
2019-20,15.00,Bologna FC,v Atalanta,2-1 (1-0),
2019-20,Juventus,v Udinese Calcio,3-1 (3-0),,
2019-20,AC Milan,v Sassuolo Calcio,0-0,,
2019-20,18.00,AS Roma,v SPAL 2013 Ferrara,3-1 (0-1),
2019-20,20.45,ACF Fiorentina,v Inter,1-1 (0-1),
2019-20,Mon Dec/16,,,,
2019-20,20.45,Cagliari Calcio,v Lazio Roma,1-2 (1-0),
2019-20,» Matchday 17,,,,
2019-20,Wed Dec/18,,,,
2019-20,18.55,Sampdoria,v Juventus,1-2 (1-2),
2019-20,Fri Dec/20,,,,
2019-20,20.45,ACF Fiorentina,v AS Roma,1-4 (1-2),
2019-20,Sat Dec/21,,,,
2019-20,15.00,Udinese Calcio,v Cagliari Calcio,2-1 (1-0),
2019-20,18.00,Inter,v Genoa CFC,4-0 (2-0),
2019-20,20.45,Torino FC,v SPAL 2013 Ferrara,1-2 (1-1),
2019-20,Sun Dec/22,,,,
2019-20,12.30,Atalanta,v AC Milan,5-0 (1-0),
2019-20,15.00,US Lecce,v Bologna FC,2-3 (0-1),
2019-20,Parma Calcio 1913,v Brescia Calcio,1-1 (0-0),,
2019-20,20.45,Sassuolo Calcio,v SSC Napoli,1-2 (1-0),
2019-20,Wed Feb/5 2020,,,,
2019-20,20.45,Lazio Roma,v Hellas Verona,0-0,
2019-20,» Matchday 18,,,,
2019-20,Sun Jan/5,,,,
2019-20,12.30,Brescia Calcio,v Lazio Roma,1-2 (1-1),
2019-20,15.00,SPAL 2013 Ferrara,v Hellas Verona,0-2 (0-1),
2019-20,18.00,Genoa CFC,v Sassuolo Calcio,2-1 (1-1),
2019-20,20.45,AS Roma,v Torino FC,0-2 (0-1),
2019-20,Mon Jan/6,,,,
2019-20,12.30,Bologna FC,v ACF Fiorentina,1-1 (0-1),
2019-20,15.00,Atalanta,v Parma Calcio 1913,5-0 (3-0),
2019-20,Juventus,v Cagliari Calcio,4-0 (0-0),,
2019-20,AC Milan,v Sampdoria,0-0,,
2019-20,18.00,US Lecce,v Udinese Calcio,0-1 (0-0),
2019-20,20.45,SSC Napoli,v Inter,1-3 (1-2),
2019-20,» Matchday 19,,,,
2019-20,Sat Jan/11,,,,
2019-20,15.00,Cagliari Calcio,v AC Milan,0-2 (0-0),
2019-20,18.00,Lazio Roma,v SSC Napoli,1-0 (0-0),
2019-20,20.45,Inter,v Atalanta,1-1 (1-0),
2019-20,Sun Jan/12,,,,
2019-20,12.30,Udinese Calcio,v Sassuolo Calcio,3-0 (1-0),
2019-20,15.00,ACF Fiorentina,v SPAL 2013 Ferrara,1-0 (0-0),
2019-20,Sampdoria,v Brescia Calcio,5-1 (2-1),,
2019-20,Torino FC,v Bologna FC,1-0 (1-0),,
2019-20,18.15,Hellas Verona,v Genoa CFC,2-1 (0-1),
2019-20,20.45,AS Roma,v Juventus,1-2 (0-2),
2019-20,Mon Jan/13,,,,
2019-20,20.45,Parma Calcio 1913,v US Lecce,2-0 (0-0),
2019-20,» Matchday 20,,,,
2019-20,Sat Jan/18,,,,
2019-20,15.00,Lazio Roma,v Sampdoria,5-1 (3-0),
2019-20,18.00,Sassuolo Calcio,v Torino FC,2-1 (0-1),
2019-20,20.45,SSC Napoli,v ACF Fiorentina,0-2 (0-1),
2019-20,Sun Jan/19,,,,
2019-20,12.30,AC Milan,v Udinese Calcio,3-2 (0-1),
2019-20,15.00,Brescia Calcio,v Cagliari Calcio,2-2 (1-1),
2019-20,Bologna FC,v Hellas Verona,1-1 (1-0),,
2019-20,US Lecce,v Inter,1-1 (0-0),,
2019-20,18.00,Genoa CFC,v AS Roma,1-3 (1-2),
2019-20,20.45,Juventus,v Parma Calcio 1913,2-1 (1-0),
2019-20,Mon Jan/20,,,,
2019-20,20.45,Atalanta,v SPAL 2013 Ferrara,1-2 (1-0),
2019-20,» Matchday 21,,,,
2019-20,Fri Jan/24,,,,
2019-20,20.45,Brescia Calcio,v AC Milan,0-1 (0-0),
2019-20,Sat Jan/25,,,,
2019-20,15.00,SPAL 2013 Ferrara,v Bologna FC,1-3 (1-1),
2019-20,18.00,ACF Fiorentina,v Genoa CFC,0-0,
2019-20,20.45,Torino FC,v Atalanta,0-7 (0-3),
2019-20,Sun Jan/26,,,,
2019-20,12.30,Inter,v Cagliari Calcio,1-1 (1-0),
2019-20,15.00,Hellas Verona,v US Lecce,3-0 (2-0),
2019-20,Sampdoria,v Sassuolo Calcio,0-0,,
2019-20,Parma Calcio 1913,v Udinese Calcio,2-0 (2-0),,
2019-20,18.00,AS Roma,v Lazio Roma,1-1 (1-1),
2019-20,20.45,SSC Napoli,v Juventus,2-1 (0-0),
2019-20,» Matchday 22,,,,
2019-20,Sat Feb/1,,,,
2019-20,15.00,Bologna FC,v Brescia Calcio,2-1 (1-1),
2019-20,18.00,Cagliari Calcio,v Parma Calcio 1913,2-2 (1-1),
2019-20,20.45,Sassuolo Calcio,v AS Roma,4-2 (3-0),
2019-20,Sun Feb/2,,,,
2019-20,12.30,Juventus,v ACF Fiorentina,3-0 (1-0),
2019-20,15.00,Atalanta,v Genoa CFC,2-2 (2-2),
2019-20,AC Milan,v Hellas Verona,1-1 (1-1),,
2019-20,Lazio Roma,v SPAL 2013 Ferrara,5-1 (4-0),,
2019-20,18.00,US Lecce,v Torino FC,4-0 (2-0),
2019-20,20.45,Udinese Calcio,v Inter,0-2 (0-0),
2019-20,Mon Feb/3,,,,
2019-20,20.45,Sampdoria,v SSC Napoli,2-4 (1-2),
2019-20,» Matchday 23,,,,
2019-20,Fri Feb/7,,,,
2019-20,20.45,AS Roma,v Bologna FC,2-3 (1-2),
2019-20,Sat Feb/8,,,,
2019-20,15.00,ACF Fiorentina,v Atalanta,1-2 (1-0),
2019-20,18.00,Torino FC,v Sampdoria,1-3 (0-0),
2019-20,20.45,Hellas Verona,v Juventus,2-1 (0-0),
2019-20,Sun Feb/9,,,,
2019-20,12.30,SPAL 2013 Ferrara,v Sassuolo Calcio,1-2 (1-0),
2019-20,15.00,Genoa CFC,v Cagliari Calcio,1-0 (1-0),
2019-20,SSC Napoli,v US Lecce,2-3 (0-1),,
2019-20,Brescia Calcio,v Udinese Calcio,1-1 (0-0),,
2019-20,18.00,Parma Calcio 1913,v Lazio Roma,0-1 (0-1),
2019-20,20.45,Inter,v AC Milan,4-2 (0-2),
2019-20,» Matchday 24,,,,
2019-20,Sat Feb/15,,,,
2019-20,15.00,US Lecce,v SPAL 2013 Ferrara,2-1 (1-0),
2019-20,18.00,Bologna FC,v Genoa CFC,0-3 (0-2),
2019-20,20.45,Atalanta,v AS Roma,2-1 (0-1),
2019-20,Sun Feb/16,,,,
2019-20,12.30,Udinese Calcio,v Hellas Verona,0-0,
2019-20,15.00,Juventus,v Brescia Calcio,2-0 (1-0),
2019-20,Sampdoria,v ACF Fiorentina,1-5 (0-3),,
2019-20,Sassuolo Calcio,v Parma Calcio 1913,0-1 (0-1),,
2019-20,18.00,Cagliari Calcio,v SSC Napoli,0-1 (0-0),
2019-20,20.45,Lazio Roma,v Inter,2-1 (0-1),
2019-20,Mon Feb/17,,,,
2019-20,20.45,AC Milan,v Torino FC,1-0 (1-0),
2019-20,» Matchday 25,,,,
2019-20,Fri Feb/21,,,,
2019-20,20.45,Brescia Calcio,v SSC Napoli,1-2 (1-0),
2019-20,Sat Feb/22,,,,
2019-20,15.00,Bologna FC,v Udinese Calcio,1-1 (0-1),
2019-20,18.00,SPAL 2013 Ferrara,v Juventus,1-2 (0-1),
2019-20,20.45,ACF Fiorentina,v AC Milan,1-1 (0-0),
2019-20,Sun Feb/23,,,,
2019-20,12.30,Genoa CFC,v Lazio Roma,2-3 (0-1),
2019-20,18.00,AS Roma,v US Lecce,4-0 (2-0),
2019-20,Sat Jun/20,,,,
2019-20,19.30,Torino FC,v Parma Calcio 1913,1-1 (1-1),
2019-20,21.45,Hellas Verona,v Cagliari Calcio,2-1 (2-1),
2019-20,Sun Jun/21,,,,
2019-20,19.30,Atalanta,v Sassuolo Calcio,4-1 (3-0),
2019-20,21.45,Inter,v Sampdoria,2-1 (2-0),
2019-20,» Matchday 26,,,,
2019-20,Sat Feb/29,,,,
2019-20,15.00,Lazio Roma,v Bologna FC,2-0 (2-0),
2019-20,20.45,SSC Napoli,v Torino FC,2-1 (1-0),
2019-20,Sun Mar/1,,,,
2019-20,15.00,US Lecce,v Atalanta,2-7 (2-2),
2019-20,18.00,Cagliari Calcio,v AS Roma,3-4 (1-2),
2019-20,Sun Mar/8,,,,
2019-20,13.45,Parma Calcio 1913,v SPAL 2013 Ferrara,0-1 (0-0),
2019-20,15.00,AC Milan,v Genoa CFC,1-2 (0-2),
2019-20,Sampdoria,v Hellas Verona,2-1 (0-1),,
2019-20,18.00,Udinese Calcio,v ACF Fiorentina,0-0,
2019-20,20.45,Juventus,v Inter,2-0 (0-0),
2019-20,Mon Mar/9,,,,
2019-20,18.30,Sassuolo Calcio,v Brescia Calcio,3-0 (1-0),
2019-20,» Matchday 27,,,,
2019-20,Mon Jun/22,,,,
2019-20,19.30,ACF Fiorentina,v Brescia Calcio,1-1 (1-1),
2019-20,US Lecce,v AC Milan,1-4 (0-1),,
2019-20,21.45,Bologna FC,v Juventus,0-2 (0-2),
2019-20,Tue Jun/23,,,,
2019-20,19.30,SPAL 2013 Ferrara,v Cagliari Calcio,0-1 (0-0),
2019-20,Hellas Verona,v SSC Napoli,0-2 (0-1),,
2019-20,21.45,Genoa CFC,v Parma Calcio 1913,1-4 (0-2),
2019-20,Torino FC,v Udinese Calcio,1-0 (1-0),,
2019-20,Wed Jun/24,,,,
2019-20,19.30,Inter,v Sassuolo Calcio,3-3 (2-1),
2019-20,21.45,Atalanta,v Lazio Roma,3-2 (1-2),
2019-20,AS Roma,v Sampdoria,2-1 (0-1),,
2019-20,» Matchday 28,,,,
2019-20,Fri Jun/26,,,,
2019-20,21.45,Juventus,v US Lecce,4-0 (0-0),
2019-20,Sat Jun/27,,,,
2019-20,17.15,Brescia Calcio,v Genoa CFC,2-2 (2-1),
2019-20,19.30,Cagliari Calcio,v Torino FC,4-2 (2-0),
2019-20,21.45,Lazio Roma,v ACF Fiorentina,2-1 (0-1),
2019-20,Sun Jun/28,,,,
2019-20,17.15,AC Milan,v AS Roma,2-0 (0-0),
2019-20,19.30,Udinese Calcio,v Atalanta,2-3 (1-1),
2019-20,Sampdoria,v Bologna FC,1-2 (0-0),,
2019-20,Sassuolo Calcio,v Hellas Verona,3-3 (0-0),,
2019-20,SSC Napoli,v SPAL 2013 Ferrara,3-1 (2-1),,
2019-20,21.45,Parma Calcio 1913,v Inter,1-2 (1-0),
2019-20,» Matchday 29,,,,
2019-20,Tue Jun/30,,,,
2019-20,19.30,Torino FC,v Lazio Roma,1-2 (1-0),
2019-20,21.45,Genoa CFC,v Juventus,1-3 (0-0),
2019-20,Wed Jul/1,,,,
2019-20,19.30,Inter,v Brescia Calcio,6-0 (3-0),
2019-20,Bologna FC,v Cagliari Calcio,1-1 (1-0),,
2019-20,21.45,SPAL 2013 Ferrara,v AC Milan,2-2 (2-0),
2019-20,Hellas Verona,v Parma Calcio 1913,3-2 (1-1),,
2019-20,US Lecce,v Sampdoria,1-2 (0-1),,
2019-20,ACF Fiorentina,v Sassuolo Calcio,1-3 (0-2),,
2019-20,Thu Jul/2,,,,
2019-20,19.30,Atalanta,v SSC Napoli,2-0 (0-0),
2019-20,21.45,AS Roma,v Udinese Calcio,0-2 (0-1),
2019-20,» Matchday 30,,,,
2019-20,Sat Jul/4,,,,
2019-20,17.15,Juventus,v Torino FC,4-1 (2-1),
2019-20,19.30,Sassuolo Calcio,v US Lecce,4-2 (1-1),
2019-20,21.45,Lazio Roma,v AC Milan,0-3 (0-2),
2019-20,Sun Jul/5,,,,
2019-20,17.15,Inter,v Bologna FC,1-2 (1-0),
2019-20,19.30,Cagliari Calcio,v Atalanta,0-1 (0-1),
2019-20,Parma Calcio 1913,v ACF Fiorentina,1-2 (0-2),,
2019-20,Udinese Calcio,v Genoa CFC,2-2 (1-0),,
2019-20,Brescia Calcio,v Hellas Verona,2-0 (0-0),,
2019-20,Sampdoria,v SPAL 2013 Ferrara,3-0 (3-0),,
2019-20,21.45,SSC Napoli,v AS Roma,2-1 (0-0),
2019-20,» Matchday 31,,,,
2019-20,Tue Jul/7,,,,
2019-20,19.30,US Lecce,v Lazio Roma,2-1 (1-1),
2019-20,21.45,AC Milan,v Juventus,4-2 (0-0),
2019-20,Wed Jul/8,,,,
2019-20,19.30,ACF Fiorentina,v Cagliari Calcio,0-0,
2019-20,Genoa CFC,v SSC Napoli,1-2 (0-1),,
2019-20,21.45,Torino FC,v Brescia Calcio,3-1 (0-1),
2019-20,AS Roma,v Parma Calcio 1913,2-1 (1-1),,
2019-20,Atalanta,v Sampdoria,2-0 (0-0),,
2019-20,Bologna FC,v Sassuolo Calcio,1-2 (0-1),,
2019-20,Thu Jul/9,,,,
2019-20,19.30,SPAL 2013 Ferrara,v Udinese Calcio,0-3 (0-2),
2019-20,21.45,Hellas Verona,v Inter,2-2 (1-0),
2019-20,» Matchday 32,,,,
2019-20,Sat Jul/11,,,,
2019-20,17.15,Lazio Roma,v Sassuolo Calcio,1-2 (1-0),
2019-20,19.30,Brescia Calcio,v AS Roma,0-3 (0-0),
2019-20,21.45,Juventus,v Atalanta,2-2 (0-1),
2019-20,Sun Jul/12,,,,
2019-20,17.15,Genoa CFC,v SPAL 2013 Ferrara,2-0 (1-0),
2019-20,19.30,Parma Calcio 1913,v Bologna FC,2-2 (0-2),
2019-20,ACF Fiorentina,v Hellas Verona,1-1 (0-1),,
2019-20,Cagliari Calcio,v US Lecce,0-0,,
2019-20,Udinese Calcio,v Sampdoria,1-3 (1-1),,
2019-20,21.45,SSC Napoli,v AC Milan,2-2 (1-1),
2019-20,Mon Jul/13,,,,
2019-20,21.45,Inter,v Torino FC,3-1 (0-1),
2019-20,» Matchday 33,,,,
2019-20,Tue Jul/14,,,,
2019-20,21.45,Atalanta,v Brescia Calcio,6-2 (4-1),
2019-20,Wed Jul/15,,,,
2019-20,19.30,Sampdoria,v Cagliari Calcio,3-0 (2-0),
2019-20,Bologna FC,v SSC Napoli,1-1 (0-1),,
2019-20,AC Milan,v Parma Calcio 1913,3-1 (0-1),,
2019-20,21.45,US Lecce,v ACF Fiorentina,1-3 (0-3),
2019-20,AS Roma,v Hellas Verona,2-1 (2-0),,
2019-20,Sassuolo Calcio,v Juventus,3-3 (1-2),,
2019-20,Udinese Calcio,v Lazio Roma,0-0,,
2019-20,Thu Jul/16,,,,
2019-20,19.30,Torino FC,v Genoa CFC,3-0 (1-0),
2019-20,21.45,SPAL 2013 Ferrara,v Inter,0-4 (0-1),
2019-20,» Matchday 34,,,,
2019-20,Sat Jul/18,,,,
2019-20,17.15,Hellas Verona,v Atalanta,1-1 (0-0),
2019-20,19.30,Cagliari Calcio,v Sassuolo Calcio,1-1 (0-1),
2019-20,21.45,AC Milan,v Bologna FC,5-1 (2-1),
2019-20,Sun Jul/19,,,,
2019-20,17.15,Parma Calcio 1913,v Sampdoria,2-3 (2-0),
2019-20,19.30,Genoa CFC,v US Lecce,2-1 (1-0),
2019-20,Brescia Calcio,v SPAL 2013 Ferrara,2-1 (0-1),,
