stagione,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2015-2016,Empoli,29,25.4,52.5,38,418,3420,38.0,39,29,68,38,1,2,101,0,1.03,0.76,1.79,1.0,1.76
2015-2016,Fiorentina,26,27.6,61.0,38,418,3420,38.0,58,38,96,50,8,9,102,0,1.53,1.0,2.53,1.32,2.32
2015-2016,Frosinone,28,26.5,39.7,38,418,3420,38.0,34,22,56,31,3,3,116,0,0.89,0.58,1.47,0.82,1.39
2015-2016,Genoa,30,26.7,50.2,38,418,3420,38.0,44,35,79,40,4,4,91,0,1.16,0.92,2.08,1.05,1.97
2015-2016,Hellas Verona,32,27.5,45.3,38,418,3420,38.0,34,23,57,28,6,7,97,0,0.89,0.61,1.5,0.74,1.34
2015-2016,Inter,28,26.7,55.0,38,418,3420,38.0,49,35,84,47,2,3,104,0,1.29,0.92,2.21,1.24,2.16
2015-2016,Juventus,28,28.3,56.0,38,418,3420,38.0,72,54,126,63,9,9,97,0,1.89,1.42,3.32,1.66,3.08
2015-2016,Lazio,27,27.6,54.4,38,418,3420,38.0,52,31,83,43,9,11,107,0,1.37,0.82,2.18,1.13,1.95
2015-2016,Milan,30,26.4,52.9,38,418,3420,38.0,49,28,77,43,6,7,96,0,1.29,0.74,2.03,1.13,1.87
2015-2016,Napoli,22,26.5,62.6,38,418,3420,38.0,78,56,134,71,7,8,72,0,2.05,1.47,3.53,1.87,3.34
2015-2016,Palermo,31,26.8,43.2,38,418,3420,38.0,37,31,68,36,1,1,103,0,0.97,0.82,1.79,0.95,1.76
2015-2016,Roma,32,26.2,57.7,38,418,3420,38.0,83,55,138,79,4,4,87,0,2.18,1.45,3.63,2.08,3.53
2015-2016,Sampdoria,35,27.5,49.4,38,418,3420,38.0,45,30,75,42,3,3,111,0,1.18,0.79,1.97,1.11,1.89
2015-2016,Sassuolo,26,27.0,51.1,38,418,3420,38.0,48,33,81,44,4,5,98,0,1.26,0.87,2.13,1.16,2.03
2015-2016,Torino,27,27.6,47.5,38,418,3420,38.0,49,29,78,40,9,11,99,0,1.29,0.76,2.05,1.05,1.82
2015-2016,Udinese,28,27.6,44.4,38,418,3420,38.0,34,23,57,32,2,2,105,0,0.89,0.61,1.5,0.84,1.45
2016-2017,Atalanta,32,25.2,50.2,38,417,3420,38.0,62,43,105,57,5,5,90,2,1.63,1.13,2.76,1.5,2.63
2016-2017,Bologna,28,26.3,46.3,38,418,3420,38.0,39,29,68,38,1,2,87,2,1.03,0.76,1.79,1.0,1.76
2016-2017,Cagliari,34,28.7,43.2,38,418,3420,38.0,53,30,83,49,4,6,104,3,1.39,0.79,2.18,1.29,2.08
2016-2017,Chievo,29,31.3,46.7,38,418,3420,38.0,42,29,71,38,4,5,88,3,1.11,0.76,1.87,1.0,1.76
2016-2017,Crotone,31,26.0,37.1,38,418,3420,38.0,34,22,56,30,4,5,93,3,0.89,0.58,1.47,0.79,1.37
2016-2017,Empoli,29,26.8,49.0,38,418,3420,38.0,29,19,48,25,4,5,107,0,0.76,0.5,1.26,0.66,1.16
2016-2017,Fiorentina,30,27.3,58.3,38,418,3420,38.0,62,46,108,56,6,10,98,3,1.63,1.21,2.84,1.47,2.68
2016-2017,Genoa,33,26.9,48.8,38,418,3420,38.0,36,30,66,34,2,3,97,4,0.95,0.79,1.74,0.89,1.68
2016-2017,Inter,29,27.5,56.4,38,418,3420,38.0,70,55,125,67,3,5,81,3,1.84,1.45,3.29,1.76,3.21
2016-2017,Juventus,27,29.1,57.0,38,418,3420,38.0,72,49,121,69,3,3,70,0,1.89,1.29,3.18,1.82,3.11
2016-2017,Lazio,30,26.0,51.0,38,418,3420,38.0,73,47,120,61,12,14,96,3,1.92,1.24,3.16,1.61,2.84
2016-2017,Milan,28,25.0,54.1,38,418,3420,38.0,55,39,94,48,7,12,98,9,1.45,1.03,2.47,1.26,2.29
2016-2017,Napoli,26,26.9,62.1,38,418,3420,38.0,94,68,162,89,5,6,58,0,2.47,1.79,4.26,2.34,4.13
2016-2017,Palermo,30,26.1,45.6,38,418,3420,38.0,33,24,57,32,1,1,107,6,0.87,0.63,1.5,0.84,1.47
2016-2017,Pescara,34,26.6,46.4,38,418,3420,38.0,32,27,59,30,2,6,98,3,0.84,0.71,1.55,0.79,1.5
2016-2017,Roma,22,26.7,57.1,38,418,3420,38.0,88,59,147,76,12,14,64,0,2.32,1.55,3.87,2.0,3.55
2016-2017,Sampdoria,24,26.6,52.3,38,418,3420,38.0,45,31,76,38,7,8,75,1,1.18,0.82,2.0,1.0,1.82
2016-2017,Sassuolo,28,26.7,46.8,38,418,3420,38.0,59,36,95,50,9,10,90,0,1.55,0.95,2.5,1.32,2.26
