season,squad,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2016-2017,Sampdoria,39,16.0,23.487179487179485,25.75,0.5128205128205128,0.1794871794871795,0.28205128205128205,0.4358974358974359,0.8205128205128205,45.0,31.0,,,,,0.0,75.0,5.0,11.6,0.0,11.6,5.4766095681245535
2016-2017,Sassuolo,40,19.0,24.125,26.0,0.475,0.15,0.325,0.525,0.85,59.0,36.0,,,,,0.0,92.0,2.0,11.8,0.0,11.8,5.906048616157021
2016-2017,Torino,40,15.0,24.45,25.866666666666667,0.425,0.175,0.3,0.55,0.825,70.0,54.0,,,,,0.0,88.0,4.0,18.0,0.0,18.0,5.3202564040775515
2016-2017,Udinese,40,14.0,23.2,26.53846153846154,0.525,0.125,0.35,0.575,0.875,47.0,29.0,,,,,0.0,85.0,2.0,9.6,0.0,9.6,5.209458852746756
2017-2018,Atalanta,34,15.0,22.647058823529413,25.266666666666666,0.5,0.08823529411764706,0.35294117647058826,0.47058823529411764,0.9117647058823529,57.0,38.0,65.69999999999999,,0.1576043499120422,,4753.0,67.0,4.0,11.6,0.0,11.6,3.95338254050711
2017-2018,Benevento,48,23.0,24.27659574468085,25.714285714285715,0.3125,0.10416666666666667,0.3541666666666667,0.4583333333333333,0.875,32.0,23.0,38.9,,0.09372741145289534,,3193.0,78.0,7.0,6.2,0.0,6.2,4.633067007743614
2017-2018,Bologna,38,16.0,24.5,26.642857142857142,0.39473684210526316,0.13157894736842105,0.39473684210526316,0.39473684210526316,0.868421052631579,37.0,18.0,37.5,,0.08997600639829378,,3262.0,102.0,6.0,7.6,0.0,7.6,5.300433434597079
2017-2018,Cagliari,37,15.0,24.2972972972973,27.0,0.40540540540540543,0.13513513513513514,0.40540540540540543,0.3783783783783784,0.8648648648648649,33.0,21.0,40.099999999999994,,0.09610417276915292,,3138.0,96.0,6.0,7.4,0.0,7.4,5.9668755310969575
2017-2018,Chievo,30,18.0,26.766666666666666,29.058823529411764,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.43333333333333335,0.8666666666666667,36.0,20.0,34.3,,0.08224323964299986,,3260.0,75.0,4.0,7.8,0.0,7.8,6.636800918875117
2017-2018,Crotone,38,17.0,23.105263157894736,25.133333333333333,0.39473684210526316,0.13157894736842105,0.2631578947368421,0.42105263157894735,0.868421052631579,38.0,21.0,35.599999999999994,,0.08538762892092848,,2958.0,67.0,2.0,7.0,0.0,7.0,4.379247582443325
2017-2018,Fiorentina,35,14.0,22.942857142857143,25.153846153846153,0.45714285714285713,0.11428571428571428,0.34285714285714286,0.4,0.8857142857142857,53.0,32.0,54.699999999999996,,0.1314622943815424,,4115.0,90.0,5.0,10.4,0.0,10.4,4.4914484572014715
2017-2018,Genoa,38,17.0,25.657894736842106,28.176470588235293,0.18421052631578946,0.07894736842105263,0.42105263157894735,0.4473684210526316,0.9210526315789473,31.0,18.0,44.5,,0.10620243430298852,,3632.0,76.0,5.0,5.4,0.0,5.4,4.81145208058392
2017-2018,Hellas,38,19.0,24.36842105263158,25.5,0.39473684210526316,0.10526315789473684,0.3684210526315789,0.5,0.8947368421052632,30.0,19.0,34.3,,0.0821578751264172,,2777.0,99.0,6.0,5.2,0.0,5.2,5.095949916124854
2017-2018,Inter,32,13.0,25.21875,26.76923076923077,0.28125,0.125,0.375,0.40625,0.875,64.0,34.0,58.1,,0.13926174496644297,,4690.0,69.0,1.0,14.4,0.0,14.4,5.040061283549584
2017-2018,Juventus,30,18.0,26.3,29.352941176470587,0.23333333333333334,0.16666666666666666,0.3333333333333333,0.43333333333333335,0.8333333333333334,82.0,45.0,56.2,,0.13462869310620176,,4181.0,66.0,1.0,16.6,0.0,16.6,5.553191067708975
2017-2018,Lazio,32,14.0,24.75,25.76923076923077,0.375,0.09375,0.4375,0.46875,0.90625,86.0,51.0,64.5,,0.15463505594033033,,4497.0,79.0,7.0,18.6,0.0,18.6,4.493723221015817
2017-2018,Milan,35,17.0,23.82857142857143,25.294117647058822,0.45714285714285713,0.14285714285714285,0.4,0.34285714285714286,0.8571428571428571,54.0,28.0,52.400000000000006,,0.12580025608194623,,4802.0,75.0,7.0,10.8,0.0,10.8,5.549169064907319
2017-2018,Napoli,28,13.0,25.892857142857142,27.384615384615383,0.21428571428571427,0.10714285714285714,0.39285714285714285,0.35714285714285715,0.8928571428571429,73.0,45.0,68.4,,0.164094362255098,,5889.0,58.0,3.0,16.0,0.0,16.0,4.43336913698396
2017-2018,Roma,37,17.0,24.054054054054053,27.0625,0.4594594594594595,0.10810810810810811,0.4594594594594595,0.2702702702702703,0.8918918918918919,56.0,37.0,64.69999999999999,,0.15526343856655286,,4893.0,48.0,4.0,11.8,0.0,11.8,5.507297915523576
2017-2018,SPAL,40,16.0,24.75,25.733333333333334,0.425,0.125,0.475,0.325,0.875,37.0,14.0,36.099999999999994,,0.08658920100207877,,3122.0,101.0,4.0,7.0,0.0,7.0,5.395867364510049
2017-2018,Sampdoria,36,16.0,24.13888888888889,26.6,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.3888888888888889,0.8333333333333334,56.0,33.0,53.9,,0.1293393057110862,,3855.0,69.0,3.0,12.4,0.0,12.4,5.216198822776041
2017-2018,Sassuolo,33,16.0,24.848484848484848,26.692307692307693,0.3939393939393939,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.9090909090909091,28.0,16.0,48.400000000000006,,0.11609808102345416,,3601.0,89.0,7.0,5.8,0.0,5.8,5.75065872379641
2017-2018,Torino,39,15.0,23.435897435897434,28.066666666666666,0.5641025641025641,0.10256410256410256,0.358974358974359,0.358974358974359,0.8974358974358975,53.0,36.0,46.9,,0.11232636116876896,,3533.0,76.0,7.0,12.8,0.0,12.8,5.325187774276983
2017-2018,Udinese,39,16.0,23.05128205128205,26.0,0.5641025641025641,0.1282051282051282,0.358974358974359,0.41025641025641024,0.8717948717948718,45.0,27.0,43.9,,0.10524212881572638,,3320.0,72.0,4.0,9.8,0.0,9.8,5.679829120616765
2018-2019,Atalanta,34,16.0,23.08823529411765,26.1875,0.4411764705882353,0.08823529411764706,0.4411764705882353,0.4117647058823529,0.9117647058823529,75.0,60.0,74.0,,0.17711823839157492,,4972.0,62.0,3.0,17.0,0.0,17.0,4.287880362552698
2018-2019,Bologna,32,19.0,25.28125,25.88888888888889,0.3125,0.125,0.375,0.28125,0.875,45.0,35.0,47.7,,0.11437629882240104,,3315.0,91.0,6.0,9.4,0.0,9.4,4.657525128496962
2018-2019,Cagliari,38,16.0,26.157894736842106,27.466666666666665,0.3684210526315789,0.10526315789473684,0.34210526315789475,0.4473684210526316,0.8947368421052632,35.0,27.0,42.8,,0.1025914187551602,,3125.0,94.0,9.0,7.8,0.0,7.8,5.706924744788059
2018-2019,Chievo,38,16.0,25.657894736842106,29.0625,0.3684210526315789,0.13157894736842105,0.39473684210526316,0.3684210526315789,0.868421052631579,25.0,17.0,36.7,,0.08824236595335418,,2946.0,110.0,7.0,5.0,0.0,5.0,6.711330942193748
2018-2019,Empoli,42,18.0,23.952380952380953,25.8125,0.40476190476190477,0.14285714285714285,0.38095238095238093,0.3333333333333333,0.8809523809523809,48.0,36.0,53.5,,0.1280653226235438,,3924.0,73.0,3.0,10.4,0.0,10.4,5.198275422054008
2018-2019,Fiorentina,36,15.0,22.52777777777778,23.928571428571427,0.5277777777777778,0.1388888888888889,0.3333333333333333,0.4166666666666667,0.8611111111111112,45.0,24.0,55.5,,0.13317159006078705,,3876.0,89.0,5.0,8.0,0.0,8.0,4.404453013622276
2018-2019,Frosinone,40,18.0,24.9,26.0,0.275,0.125,0.325,0.475,0.875,28.0,21.0,39.5,,0.09472422062350119,,2947.0,99.0,2.0,6.6,0.0,6.6,4.661902329879223
2018-2019,Genoa,39,17.0,24.487179487179485,26.25,0.41025641025641024,0.1282051282051282,0.358974358974359,0.46153846153846156,0.8717948717948718,37.0,26.0,47.900000000000006,,0.11556401458288657,,3225.0,95.0,7.0,8.2,0.0,8.2,5.134362026026699
2018-2019,Inter,27,16.0,26.51851851851852,27.1875,0.14814814814814814,0.1111111111111111,0.3333333333333333,0.37037037037037035,0.8888888888888888,57.0,36.0,65.1,,0.15577061122484245,,4778.0,73.0,3.0,10.8,0.0,10.8,4.90188637449809
2018-2019,Juventus,36,16.0,24.944444444444443,27.4375,0.3611111111111111,0.1111111111111111,0.3611111111111111,0.4166666666666667,0.8888888888888888,66.0,44.0,62.6,,0.15009590792838876,,4612.0,76.0,4.0,13.4,0.0,13.4,5.575171717762573
2018-2019,Lazio,41,17.0,23.878048780487806,26.941176470588236,0.4146341463414634,0.12195121951219512,0.4878048780487805,0.36585365853658536,0.8780487804878049,54.0,35.0,61.5,,0.14745843989769822,,4371.0,89.0,4.0,11.8,0.0,11.8,5.496340245796376
2018-2019,Milan,36,17.0,24.305555555555557,24.625,0.3611111111111111,0.1388888888888889,0.3611111111111111,0.4444444444444444,0.8611111111111112,51.0,35.0,49.2,,0.11786626916524702,,4323.0,80.0,5.0,10.2,0.0,10.2,4.785809049049937
2018-2019,Napoli,31,17.0,24.516129032258064,26.88235294117647,0.3548387096774194,0.22580645161290322,0.3225806451612903,0.41935483870967744,0.7741935483870968,73.0,54.0,62.300000000000004,,0.14948810920336997,,5105.0,72.0,5.0,17.0,0.0,17.0,4.7319549711997855
2018-2019,Parma,38,17.0,25.5,29.5625,0.3684210526315789,0.10526315789473684,0.23684210526315788,0.5263157894736842,0.8947368421052632,40.0,22.0,41.5,,0.0994408945686901,,2456.0,82.0,3.0,7.8,0.0,7.8,6.158931111193925
