Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Bb1X2,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,imp_H,imp_D,imp_A,imp_over2_5,imp_under2_5,spread_max_avg_H,bookies_count,market_raw_sum,market_vig,imp_B365_H,imp_B365_D,imp_B365_A,imp_imp_diff_H,imp_imp_diff_D,imp_imp_diff_A,odds_spread_H,odds_spread_D,odds_spread_A,has_bookies_1x2
I1,2017-09-16,,Roma,Verona,3,0,H,30,8,10,1,7,12,8,1,1,1,0,1,I8.csv,1.17,7.5,17.0,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.8164441456152147,0.12736528671597347,0.05619056766881183,,,,,,,True
I1,2017-09-17,,Chievo,Atalanta,1,1,D,15,10,4,6,13,11,6,5,2,0,0,0,I8.csv,3.0,3.2,2.5,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.31872509960159356,0.298804780876494,0.38247011952191234,,,,,,,True
I1,2017-09-17,,Spal,Cagliari,0,2,A,12,11,3,3,12,21,7,4,1,3,0,0,I8.csv,2.38,3.3,3.1,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.40177519440735215,0.28976514020893884,0.30845966538370906,,,,,,,True
I1,2017-09-17,,Torino,Sampdoria,2,2,D,13,11,3,5,14,15,3,6,2,1,0,0,I8.csv,1.67,4.0,5.0,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.5709391949757351,0.2383671139023694,0.19069369112189552,,,,,,,True
I1,2017-09-17,,Napoli,Benevento,6,0,H,27,6,14,0,6,7,8,1,0,1,0,0,I8.csv,1.11,10.0,19.0,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.8551239929789819,0.094918763220667,0.049957243800351055,,,,,,,True
I1,2017-09-17,,Milan,Udinese,2,1,H,21,4,7,2,13,10,10,3,1,2,0,0,I8.csv,1.4,4.6,8.5,,,,,,,37.0,,,,,,,,,,,,,,37.0,,,0.6807103064066853,0.20717270194986073,0.11211699164345404,,,,,,,True
I1,2017-09-17,,Genoa,Lazio,2,3,A,5,18,4,6,10,12,2,1,1,2,0,0,I8.csv,3.8,3.5,2.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.25089605734767023,0.27240143369175623,0.4767025089605735,,,,,,,True
I1,2017-09-17,,Sassuolo,Juventus,1,3,A,13,14,4,6,15,13,3,4,1,2,0,0,I8.csv,7.5,4.33,1.45,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.12650996907019152,0.21912812194605918,0.6543619089837492,,,,,,,True
I1,2017-09-19,,Bologna,Inter,1,1,D,14,11,3,3,12,18,4,11,4,3,0,0,I8.csv,5.75,4.0,1.6,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.16580310880829016,0.2383419689119171,0.5958549222797929,,,,,,,True
I1,2017-09-20,,Verona,Sampdoria,0,0,D,14,17,6,5,17,6,4,7,3,1,0,0,I8.csv,3.6,3.5,2.05,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.2642238998342847,0.2717731541152642,0.46400294605045117,,,,,,,True
I1,2017-09-20,,Benevento,Roma,0,4,A,16,21,5,7,10,8,2,9,2,0,0,0,I8.csv,8.0,5.25,1.36,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.11896034655114963,0.18127290903032325,0.6997667444185273,,,,,,,True
I1,2017-09-20,,Cagliari,Sassuolo,0,1,A,17,14,3,6,21,10,5,2,3,3,0,0,I8.csv,2.2,3.4,3.3,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.43220338983050843,0.2796610169491525,0.288135593220339,,,,,,,True
I1,2017-09-20,,Genoa,Chievo,1,1,D,11,16,2,7,19,7,6,2,1,2,0,0,I8.csv,2.2,3.3,3.5,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.4356846473029045,0.2904564315352697,0.2738589211618257,,,,,,,True
I1,2017-09-20,,Juventus,Fiorentina,1,0,H,12,9,5,0,10,23,3,1,1,2,0,1,I8.csv,1.33,5.25,9.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.7137192704203014,0.18080888183980967,0.10547184773988898,,,,,,,True
I1,2017-09-20,,Lazio,Napoli,1,4,A,4,17,2,11,9,13,3,2,2,3,0,0,I8.csv,3.4,3.6,2.1,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.28062360801781744,0.26503340757238314,0.4543429844097996,,,,,,,True
I1,2017-09-20,,Milan,Spal,2,0,H,20,6,7,0,19,15,9,8,1,2,0,0,I8.csv,1.25,6.5,11.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.7657295850066934,0.14725568942436412,0.08701472556894244,,,,,,,True
I1,2017-09-20,,Atalanta,Crotone,5,1,H,14,7,11,5,5,19,3,3,0,1,0,0,I8.csv,1.33,5.0,10.0,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.7147962830593281,0.1901358112937813,0.09506790564689065,,,,,,,True
I1,2017-09-20,,Udinese,Torino,2,3,A,16,13,6,8,17,13,12,1,1,5,0,0,I8.csv,2.88,3.5,2.4,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.33081285444234404,0.2722117202268431,0.39697542533081287,,,,,,,True
I1,2017-09-23,,Juventus,Torino,4,0,H,23,6,10,1,16,12,6,3,1,4,0,1,I8.csv,1.4,4.5,8.5,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.6775907883082374,0.21080602302922938,0.11160318866253321,,,,,,,True
I1,2017-09-23,,Roma,Udinese,3,1,H,18,14,8,5,9,10,5,8,0,1,0,0,I8.csv,1.25,6.0,12.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.7619047619047619,0.15873015873015872,0.07936507936507936,,,,,,,True
I1,2017-09-23,,Spal,Napoli,2,3,A,6,21,2,12,9,11,4,6,3,1,0,0,I8.csv,15.0,6.0,1.22,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.06331084587441618,0.15827711468604044,0.7784120394395433,,,,,,,True
I1,2017-09-24,,Cagliari,Chievo,0,2,A,15,16,3,4,25,16,6,2,2,2,1,0,I8.csv,2.25,3.3,3.3,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.42307692307692313,0.2884615384615385,0.2884615384615385,,,,,,,True
I1,2017-09-24,,Crotone,Benevento,2,0,H,17,16,4,2,12,12,2,7,0,0,0,0,I8.csv,1.91,3.4,4.33,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.4992827177367116,0.28047940908150565,0.2202378731817827,,,,,,,True
I1,2017-09-24,,Fiorentina,Atalanta,1,1,D,10,16,2,5,22,11,3,8,2,5,0,0,I8.csv,2.2,3.4,3.2,,,,,,,39.0,,,,,,,,,,,,,,39.0,,,0.42834645669291344,0.2771653543307087,0.29448818897637796,,,,,,,True
I1,2017-09-24,,Inter,Genoa,1,0,H,14,9,7,3,10,14,8,4,0,2,0,2,I8.csv,1.3,5.5,10.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.7318695941450432,0.17298735861610112,0.09514304723885562,,,,,,,True
I1,2017-09-24,,Sampdoria,Milan,2,0,H,12,6,4,0,13,17,7,4,0,2,0,0,I8.csv,3.5,3.75,2.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.27149321266968324,0.25339366515837103,0.4751131221719457,,,,,,,True
I1,2017-09-24,,Sassuolo,Bologna,0,1,A,8,8,3,4,11,15,3,6,3,4,1,0,I8.csv,2.1,3.3,3.75,,,,,,,39.0,,,,,,,,,,,,,,39.0,,,0.4552980132450331,0.2897350993377484,0.25496688741721857,,,,,,,True
I1,2017-09-24,,Verona,Lazio,0,3,A,9,12,2,5,8,13,3,4,2,2,0,0,I8.csv,5.5,4.0,1.62,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.17330837122225196,0.23829901043059643,0.5883926183471516,,,,,,,True
I1,2017-09-30,,Udinese,Sampdoria,4,0,H,15,13,7,2,12,10,3,4,4,2,0,1,I8.csv,2.7,3.25,2.6,,,,,,,39.0,,,,,,,,,,,,,,39.0,,,0.34852546916890076,0.28954423592493295,0.3619302949061662,,,,,,,True
I1,2017-09-30,,Genoa,Bologna,0,1,A,18,8,7,4,15,9,10,3,4,2,0,0,I8.csv,2.25,3.2,3.3,,,,,,,39.0,,,,,,,,,,,,,,39.0,,,0.41929720071471116,0.2948183442525313,0.2858844550327576,,,,,,,True
I1,2017-10-01,,Torino,Verona,2,2,D,12,20,5,7,11,15,6,5,1,4,0,1,I8.csv,1.33,5.0,9.0,,,,,,,38.0,,,,,,,,,,,,,,38.0,,,0.7073247406475951,0.1881483810122603,0.10452687834014461,,,,,,,True
