Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,Result,home_season_pts,home_season_wins,home_season_draws,home_season_losses,home_season_gf,home_season_ga,home_season_matches,home_season_avg_shots,home_recent_pts_mean,home_recent_gd_mean,home_recent_matches,home_days_since_last,home_days_since_log,home_recent_shots_sum,home_recent_goals_sum,home_recent_conversion,home_recent_pts_ma_3,home_recent_pts_ma_5,home_recent_pts_ma_10,home_elo,away_season_pts,away_season_wins,away_season_draws,away_season_losses,away_season_gf,away_season_ga,away_season_matches,away_season_avg_shots,away_recent_pts_mean,away_recent_gd_mean,away_recent_matches,away_days_since_last,away_days_since_log,away_recent_shots_sum,away_recent_goals_sum,away_recent_conversion,away_recent_pts_ma_3,away_recent_pts_ma_5,away_recent_pts_ma_10,away_elo,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_pts_mean,elo_diff
2017-09-10,Verona,Fiorentina,0,5,A,0,3,A,,14,20,2,10,12,11,8,6,2,1,0,0,season-1718.csv,A,1,0,1,1,1,3,2,8.5,0.5,-1.0,2,14,2.70805020110221,17.0,1.0,0.058823529411764705,0.5,0.5,0.5,1490.0,0,0,0,2,1,5,2,20.0,0.0,-2.0,2,14,2.70805020110221,40.0,1.0,0.025,0.0,0.0,0.0,1480.3861334587102,0.0,0.0,0.0,9.61386654128978
2017-09-10,Udinese,Genoa,1,0,H,1,0,H,,14,12,5,2,12,17,1,8,4,0,1,1,season-1718.csv,H,0,0,0,2,3,5,2,14.5,0.0,-1.0,2,14,2.70805020110221,29.0,3.0,0.10344827586206896,0.0,0.0,0.0,1480.40842589807,1,0,1,1,2,4,2,10.5,0.5,-1.0,2,15,2.772588722239781,21.0,2.0,0.09523809523809523,0.5,0.5,0.5,1490.1170439834336,0.0,0.0,0.0,-9.708618085363696
2017-09-10,Inter,Spal,2,0,H,1,0,H,,19,9,7,1,14,13,8,5,2,2,0,0,season-1718.csv,H,6,2,0,0,6,1,2,15.0,3.0,2.5,2,15,2.772588722239781,30.0,6.0,0.2,3.0,3.0,3.0,1520.1479205774972,4,1,1,0,3,2,2,9.5,2.0,0.5,2,14,2.70805020110221,19.0,3.0,0.15789473684210525,2.0,2.0,2.0,1509.59157410193,0.0,0.0,0.0,10.556346475567125
2017-09-10,Atalanta,Sassuolo,2,1,H,1,1,D,,9,16,3,3,13,18,3,7,0,1,0,0,season-1718.csv,H,0,0,0,2,1,4,2,14.0,0.0,-1.5,2,14,2.70805020110221,28.0,1.0,0.03571428571428571,0.0,0.0,0.0,1480.6641633125025,1,0,1,1,0,3,2,16.5,0.5,-1.5,2,14,2.70805020110221,33.0,0.0,0.0,0.5,0.5,0.5,1490.1479205774972,0.0,0.0,0.0,-9.483757264994665
2017-09-10,Bologna,Napoli,0,3,A,0,0,D,,5,17,2,7,10,16,5,7,5,1,0,0,season-1718.csv,A,4,1,1,0,2,1,2,13.5,2.0,0.5,2,15,2.772588722239781,27.0,2.0,0.07407407407407407,2.0,2.0,2.0,1509.8829560165664,6,2,0,0,6,2,2,16.0,3.0,2.0,2,14,2.70805020110221,32.0,6.0,0.1875,3.0,3.0,3.0,1519.3358366874975,0.0,0.0,0.0,-9.452880670931108
2017-09-10,Benevento,Torino,0,1,A,0,0,D,,15,16,5,6,13,22,2,10,2,2,0,0,season-1718.csv,A,0,0,0,2,1,3,2,16.5,0.0,-1.0,2,15,2.772588722239781,33.0,1.0,0.030303030303030304,0.0,0.0,0.0,1480.1170439834336,4,1,1,0,4,1,2,11.5,2.0,1.5,2,14,2.70805020110221,23.0,4.0,0.17391304347826086,2.0,2.0,2.0,1509.8520794225028,0.0,0.0,0.0,-29.73503543906918
2017-09-10,Cagliari,Crotone,1,0,H,1,0,H,,13,9,4,2,16,16,6,4,2,1,0,0,season-1718.csv,H,0,0,0,2,1,5,2,9.5,0.0,-2.0,2,14,2.70805020110221,19.0,1.0,0.05263157894736842,0.0,0.0,0.0,1486.1240884877202,1,0,1,1,0,3,2,9.5,0.5,-1.5,2,14,2.70805020110221,19.0,0.0,0.0,0.5,0.5,0.5,1484.3974000078847,0.0,0.0,0.0,1.7266884798355022
2017-09-16,Crotone,Inter,0,2,A,0,0,D,,12,7,4,3,10,6,8,6,1,2,0,0,season-1718.csv,A,1,0,1,2,0,4,3,9.333333333333334,0.3333333333333333,-1.3333333333333333,3,6,1.9459101490553132,28.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1477.2444340971124,9,3,0,0,8,1,3,16.333333333333332,3.0,2.3333333333333335,3,6,1.9459101490553132,49.0,8.0,0.16326530612244897,3.0,3.0,3.0,1527.0690750698345,0.0,0.0,0.0,-49.824640972722136
2017-09-16,Fiorentina,Bologna,2,1,H,0,0,D,,14,6,4,2,16,8,7,3,1,3,0,0,season-1718.csv,H,3,1,0,2,6,5,3,20.0,1.0,0.3333333333333333,3,6,1.9459101490553132,60.0,6.0,0.1,1.0,1.0,1.0,1493.4404031715878,4,1,1,1,2,4,3,10.666666666666666,1.3333333333333333,-0.6666666666666666,3,6,1.9459101490553132,32.0,2.0,0.0625,1.3333333333333333,1.3333333333333333,1.3333333333333333,1497.3342440610875,0.0,0.0,0.0,-3.893840889499643
2017-09-16,Roma,Verona,3,0,H,2,0,H,,30,8,10,1,7,12,8,1,1,1,0,1,season-1718.csv,H,3,1,0,1,2,3,2,12.0,1.5,-0.5,2,21,3.091042453358316,24.0,2.0,0.08333333333333333,1.5,1.5,1.5,1499.8520794225028,1,0,1,2,1,8,3,10.333333333333334,0.3333333333333333,-2.3333333333333335,3,6,1.9459101490553132,31.0,1.0,0.03225806451612903,0.3333333333333333,0.3333333333333333,0.3333333333333333,1476.9457302871224,0.0,0.0,0.0,22.906349135380424
